"年度[西暦]","区分","算定額[千円]","対前年度比較増減額[千円]","増減率[%]"
"2021","基準財政収入額Ａ 特別区税 特別区民税","64732395",,
"2021","基準財政収入額Ａ 特別区税 軽自動車税環境性能割","3816",,
"2021","基準財政収入額Ａ 特別区税 軽自動車税種別割","63545",,
"2021","基準財政収入額Ａ 特別区税 特別区たばこ税","4583524",,
"2021","基準財政収入額Ａ 利子割交付金","186593",,
"2021","基準財政収入額Ａ 配当割交付金","948448",,
"2021","基準財政収入額Ａ 株式等譲渡所得割交付金","1034316",,
"2021","基準財政収入額Ａ 地方消費税交付金","10948311",,
"2021","基準財政収入額Ａ 環境性能割交付金","86682",,
"2021","基準財政収入額Ａ 地方特例交付金","72111",,
"2021","基準財政収入額Ａ 地方揮発油譲与税","112141",,
"2021","基準財政収入額Ａ 自動車重量譲与税","315233",,
"2021","基準財政収入額Ａ 森林環境譲与税","20365",,
"2021","基準財政収入額Ａ 交通安全対策特別交付金","38279",,
"2021","基準財政収入額Ａ 特例加減算額","-3148587",,
"2021","基準財政収入額Ａ 合計","79997172",,
"2021","基準財政需要額Ｂ 単位費用 経常的経費","59136091",,
"2021","基準財政需要額Ｂ 単位費用 投資的経費","10954838",,
"2021","基準財政需要額Ｂ 合計","70090929",,
"2021","普通交付金（Ｂ－Ａ）※ Ｂ≦Ａのときは ０","0",,
"2022","基準財政収入額Ａ 特別区税 特別区民税","67558059","2825664","4.4"
"2022","基準財政収入額Ａ 特別区税 軽自動車税環境性能割","6571","2755","72.2"
"2022","基準財政収入額Ａ 特別区税 軽自動車税種別割","65275","1730","2.7"
"2022","基準財政収入額Ａ 特別区税 特別区たばこ税","4439605","-143919","-3.1"
"2022","基準財政収入額Ａ 利子割交付金","168656","-17937","-9.6"
"2022","基準財政収入額Ａ 配当割交付金","1155955","207507","21.9"
"2022","基準財政収入額Ａ 株式等譲渡所得割交付金","1321623","287307","27.8"
"2022","基準財政収入額Ａ 地方消費税交付金","10590261","-358050","-3.3"
"2022","基準財政収入額Ａ 環境性能割交付金","100000","13318","15.4"
"2022","基準財政収入額Ａ 地方特例交付金","54991","-17120","-23.7"
"2022","基準財政収入額Ａ 地方揮発油譲与税","111641","-500","-0.4"
"2022","基準財政収入額Ａ 自動車重量譲与税","317900","2667","0.8"
"2022","基準財政収入額Ａ 森林環境譲与税","26461","6096","29.9"
"2022","基準財政収入額Ａ 交通安全対策特別交付金","40607","2328","6.1"
"2022","基準財政収入額Ａ 特例加減算額","-3731277","-582690","-18.5"
"2022","基準財政収入額Ａ 合計","82226328","2229156","2.8"
"2022","基準財政需要額Ｂ 単位費用 経常的経費","59274942","138851","0.2"
"2022","基準財政需要額Ｂ 単位費用 投資的経費","11876344","921506","8.4"
"2022","基準財政需要額Ｂ 合計","71151286","1060357","1.5"
"2022","普通交付金（Ｂ－Ａ）※ Ｂ≦Ａのときは ０","0",,
"2023","基準財政収入額Ａ 特別区税 特別区民税","70935261","3377202","5.0"
"2023","基準財政収入額Ａ 特別区税 軽自動車税環境性能割","6909","338","5.1"
"2023","基準財政収入額Ａ 特別区税 軽自動車税種別割","67288","2013","3.1"
"2023","基準財政収入額Ａ 特別区税 特別区たばこ税","4179119","-260486","-5.9"
"2023","基準財政収入額Ａ 利子割交付金","182713","14057","8.3"
"2023","基準財政収入額Ａ 配当割交付金","1272279","116324","10.1"
"2023","基準財政収入額Ａ 株式等譲渡所得割交付金","1482061","160438","12.1"
"2023","基準財政収入額Ａ 地方消費税交付金","12490614","1900353","17.9"
"2023","基準財政収入額Ａ 環境性能割交付金","108669","8669","8.7"
"2023","基準財政収入額Ａ 地方特例交付金","47172","-7819","-14.2"
"2023","基準財政収入額Ａ 地方揮発油譲与税","109804","-1837","-1.6"
"2023","基準財政収入額Ａ 自動車重量譲与税","316668","-1232","-0.4"
"2023","基準財政収入額Ａ 森林環境譲与税","36584","10123","38.3"
"2023","基準財政収入額Ａ 交通安全対策特別交付金","40195","-412","-1.0"
"2023","基準財政収入額Ａ 特例加減算額","-3824871","-93594","-2.5"
"2023","基準財政収入額Ａ 合計","87450465","5224137","6.4"
"2023","基準財政需要額Ｂ 単位費用 経常的経費","54663244","-4611698","-7.8"
"2023","基準財政需要額Ｂ 単位費用 投資的経費","10783338","-1093006","-9.2"
"2023","基準財政需要額Ｂ 合計","65446582","-5704704","-8.0"
"2023","普通交付金（Ｂ－Ａ）※ Ｂ≦Ａのときは ０","0",,

"令和5年度港区行政資料集　都区財政調整","Ver202303",,,
