"年度[和暦]","集団回収(古紙)[kg]","集団回収(布類)[kg]","集団回収(缶)[kg]","集団回収(びん)[kg]","集団回収(その他)[kg]","集団回収計[kg]","集積所回収(古紙)[kg]","集積所回収(缶・びん)[kg]","集積所回収(ペットボトル)[kg]","集積所回収(資源プラスチック)[kg]","集積所回収計[kg]","拠点回収(使用済み小型家電製品)[kg]","拠点回収(ペットボトルキャップ)[kg]","拠点回収(古着)[kg]","拠点回収(廃食用油)[kg]","拠点回収(使用済み蛍光灯)[kg]","拠点回収(使用済み乾電池)[kg]","拠点回収(紙パック)[kg]","拠点回収(ペットボトル)[kg]","拠点回収(陶磁器・ガラス類)[kg]","拠点回収計[kg]","イベント回収(使用済み小型家電製品)[kg]","イベント回収(古着)[kg]","イベント回収(廃食用油)[kg]","イベント回収(ふとん)[kg]","イベント回収計[kg]","ピックアップ回収(金属製品等)(不燃ごみ)[kg]","ピックアップ回収(コード類)(不燃ごみ)[kg]","ピックアップ回収(使用済み蛍光灯)(不燃)[kg]","ピックアップ回収(使用済小型家電)(不燃)[kg]","ピックアップ回収(金属製品等)(粗大ごみ)[kg]","ピックアップ回収(羽毛ふとん)(粗大ごみ)[kg]","ピックアップ回収(ふとん)(粗大ごみ)[kg]","ピックアップ回収(廃木材)[kg]","ピックアップ回収計[kg]","店頭回収(ペットボトル)[kg]"
"平成16年度","3760951","15270","10864","17","1728","3788830","9722550","3547400","－","－","13269950","－","－","－","－","－","5180","13823","343560","－","362563","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"平成17年度","3764589","11675","11601","0","1343","3789208","10094840","3610630","8440","－","13713910","－","－","－","－","－","6660","11492","345440","－","363592","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"平成18年度","4280126","11905","18835","222","2985","4314073","10502550","3776870","412670","－","14692090","－","－","－","－","－","2970","10094","305130","－","318194","－","－","－","－","－","－","－","－","－","－","－","－","－","－","－"
"平成19年度","5035449","13189","44742","5049","23760","5122189","10459920","4036840","652050","201360","15350170","－","－","－","－","－","3890","8200","106120","－","118210","－","－","－","－","－","－","－","－","－","－","－","－","－","－","171030"
"平成20年度","5061462","13007","76271","11412","27694","5189846","9025790","4420616","774150","1967875","16188431","－","－","－","－","－","6080","6640","123540","－","136260","－","－","－","－","－","－","－","－","－","－","－","－","－","－","155080"
"平成21年度","5900561","19842","93034","17433","48710","6079580","8453140","4719820","844020","3084470","17101450","－","－","－","－","－","6630","5300","140080","－","152010","－","894","77","－","971","－","－","－","－","－","－","－","－","－","134130"
"平成22年度","5672452","17900","103210","25136","56546","5875244","7896480","4711401","859510","2810030","16277421","－","－","－","－","－","5070","4130","137620","－","146820","－","4390","30","－","4420","－","－","－","－","－","－","－","－","－","131620"
"平成23年度","5853225","27596","116967","26765","98863","6123416","7715980","4219387","954540","2706860","15596767","－","－","－","－","－","1330","3810","128170","－","133310","－","8440","288","－","8728","－","－","－","－","－","－","－","－","－","147400"
"平成24年度","5888116","33661","124063","27484","122968","6196292","7577670","4209440","911680","2633310","15332100","353","－","－","－","－","5780","2750","94820","－","103703","101","4870","202","－","5173","172410","－","－","－","245910","‐","－","－","418320","142500"
"平成25年度","6075699","30580","145823","56961","152189","6461252","7636930","4300819","913740","2660210","15511699","982","－","16310","－","169","5840","2810","88480","－","114591","148","5069","226","1026","6469","201280","11380","7603","－","240570","450","－","－","461283","154100"
"平成26年度","5932831","32993","151118","63315","162882","6343139","7578100","4246078","923550","2608200","15355928","1213","287","15249","86","158","4012","1970","84750","－","107725","82","1609","124","491","2306","310220","21420","9929","－","241700","340","70","－","583679","151590"
"平成27年度","5662927","43162","173909","64533","176263","6120794","7499250","4392250","1071240","2663960","15626700","1686","443","43640","260","133","7485","1910","－","－","55557","52","1405","74","217","1748","467030","37510","26673","－","210070","193","1051","－","742527","－"
"平成28年度","5646150","45605","202861","52418","207071","6154105","7172750","4371945","1080440","2568930","15194065","1422","642","42364","160","136","7194","1680","－","－","53598","50","540","65","240","895","527850","35577","25522","－","323820","0","0","304760","1217529","－"
"平成29年度","5484904","47709","218447","65088","203266","6019414","7081900","4286449","1155570","2527080","15050999","2008","543","49772","240","155","7448","1160","－","－","61326","16","388","32","91","527","530680","35340","27070","－","351880","0","35","339920","1284925","－"
"平成30年度","5310784","45132","222910","65596","206546","5850968","6874370","4219494","1217170","2611400","14922434","2838","934","57355","180","120","8004","－","－","－","69431","41","325","37","108","511","534180","30050","25446","－","367260","240","115","396040","1353331","－"
"令和元年度","5078454","43737","238162","75566","206715","5642634","7139110","4307892","1255860","2650760","15353622","1847","798","70518","－","172","7620","－","－","－","80955","30","341","16","144","531","535780","29295","27783","－","325160","65","30","357420","1275533","－"
"令和2年度","4784188","19014","278420","182155","159327","5423104","7642550","4667768","1358480","2844660","16513458","2114","604","61699","295","108","7792","－","－","－","72612","－","－","－","－","－","466010","25282","27273","－","259490","541","0","324620","1103216","－"
"令和3年度","4616202","19366","236606","175506","155536","5203216","7659930","4501511","1366210","2705720","16233371","2183","686","89006","150","131","5751","－","－","846","98753","－","－","－","－","－","426330","17393","25248","3037","246990","445","0","379720","1099163","－"

"資源回収量","Ver202304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
