 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"282,863","112,386","282,863","112,386","68,344","110,183","68,344","110,183","214,519","2,203","214,519","2,203"
,95.4%,100.8%,95.4%,100.8%,82.5%,100.9%,82.5%,100.9%,100.4%,92.8%,100.4%,92.8%
外航計,"262,691","99,647","262,691","99,647","58,551","98,921","58,551","98,921","204,140",726,"204,140",726
,96.7%,105.9%,96.7%,105.9%,85.8%,105.8%,85.8%,105.8%,100.3%,119.2%,100.3%,119.2%
外航定期計,"262,691","99,647","262,691","99,647","58,551","98,921","58,551","98,921","204,140",726,"204,140",726
,96.7%,105.9%,96.7%,105.9%,85.8%,105.8%,85.8%,105.8%,100.3%,119.2%,100.3%,119.2%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"33,834","12,604","33,834","12,604","11,304","12,226","11,304","12,226","22,530",378,"22,530",378
,97.7%,86.5%,97.7%,86.5%,99.0%,84.0%,99.0%,84.0%,97.0%,2907.7%,97.0%,2907.7%
北米東岸(カリビア海含む),"7,413","2,508","7,413","2,508","3,096","2,508","3,096","2,508","4,317",-,"4,317",-
,67.1%,179.0%,67.1%,179.0%,71.6%,179.0%,71.6%,179.0%,64.1%,-,64.1%,-
北欧・地中海,"18,193","2,195","18,193","2,195","6,444","2,165","6,444","2,165","11,749",30,"11,749",30
,98.5%,105.9%,98.5%,105.9%,77.0%,108.1%,77.0%,108.1%,116.2%,43.5%,116.2%,43.5%
南米西岸,"3,283","2,033","3,283","2,033",430,"2,033",430,"2,033","2,853",-,"2,853",-
,73.0%,477.2%,73.0%,477.2%,250.0%,484.0%,250.0%,484.0%,66.0%,-,66.0%,-
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
