< 輸  出 >,4-(2)外貿コンテナ貨物航路別・主要品種別表,,,,,,(単位：トン）
航 路 名,計,,第１位,第２位,第３位,第４位,第５位
,,構成比,,,,,
合計,,,その他化学工業品,産業機械,再利用資材,自動車部品,電気機械
,"770,131",100.0%,"121,205","119,054","110,143","98,915","41,861"
,87.8%,,88.5%,83.5%,80.3%,101.7%,85.7%
世界一周,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
北米西岸(メキシコ含む),,,自動車部品,産業機械,電気機械,その他化学工業品,測量・光学・医療用機械
,"148,482",19.3%,"52,958","26,952","11,364","7,902","5,084"
,107.4%,,117.5%,87.7%,122.7%,80.7%,195.5%
北米東岸(カリビア海含む),,,産業機械,自動車部品,その他化学工業品,紙・パ　ル　プ,電気機械
,"38,816",5.0%,"13,793","10,158","3,509","2,341","1,658"
,95.5%,,97.6%,146.7%,81.3%,60.2%,108.6%
北欧・地中海,,,産業機械,その他化学工業品,ゴム製品,電気機械,自動車部品
,"87,502",11.4%,"19,794","16,146","11,374","6,006","5,652"
,77.8%,,69.8%,106.7%,69.6%,76.9%,64.2%
南米西岸,,,再利用資材,その他化学工業品,産業機械,窯業品,製造食品
,"5,907",0.8%,"3,000","1,802",338,251,196
,353.7%,,13043.5%,480.5%,127.5%,534.0%,176.6%
南米東岸,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
南米東岸･南ア経由,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
アフリカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
オセアニア,,,その他化学工業品,再利用資材,製造食品,産業機械,測量・光学・医療用機械
,"2,042",0.3%,435,240,222,197,170
,74.9%,,72.9%,-,65.9%,131.3%,-
印パ･ペルシャ･ベンガル,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
東南アジア,,,その他化学工業品,再利用資材,産業機械,自動車部品,電気機械
,"326,643",42.4%,"61,859","51,851","41,644","26,109","16,170"
,99.9%,,112.5%,69.2%,127.6%,94.6%,123.9%
台湾,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
韓国,,,再利用資材,その他化学工業品,産業機械,その他製造工業品,電気機械
,"39,814",5.2%,"14,100","5,617","3,480","1,873","1,573"
,101.9%,,89.2%,93.1%,165.6%,223.2%,49.6%
中国(香港含む),,,再利用資材,その他化学工業品,産業機械,取合せ品,その他製造工業品
,"120,925",15.7%,"34,116","23,935","12,856","10,463","5,151"
,76.8%,,81.9%,72.3%,55.1%,513.6%,71.0%
ナホトカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
各下段： 対前年比％,,,,,,,
