 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,26,26,26,26,
,総トン数,,"328,536","328,536","328,536","328,536",
取扱貨物,計,計,"805,000","805,000","805,000","805,000",
,,出荷,"420,845","420,845","420,845","420,845",
,,入荷,"384,155","384,155","384,155","384,155",
取　扱　台　数,バ　ス,計,6,6,6,6,
,,出荷,5,5,5,5,
,,入荷,1,1,1,1,
,トラック,計,"7,391","7,391","7,391","7,391",
,,出荷,"3,917","3,917","3,917","3,917",
,,入荷,"3,474","3,474","3,474","3,474",
,乗用車,計,"3,806","3,806","3,806","3,806",
,,出荷,"2,296","2,296","2,296","2,296",
,,入荷,"1,510","1,510","1,510","1,510",
乗降人員,計,,"2,367","2,367","2,367","2,367",
,乗船,,986,986,986,986,
,降船,,"1,381","1,381","1,381","1,381",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
