 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,894","14,030,164","1,894","14,030,164",674,"12,108,711",674,"12,108,711"
外航計,429,"10,478,863",429,"10,478,863",406,"10,228,954",406,"10,228,954"
外航定期計,406,"10,228,954",406,"10,228,954",406,"10,228,954",406,"10,228,954"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),42,"2,731,220",42,"2,731,220",42,"2,731,220",42,"2,731,220"
北米東岸(カリビア海含む),7,"556,931",7,"556,931",7,"556,931",7,"556,931"
北欧・地中海,4,"390,959",4,"390,959",4,"390,959",4,"390,959"
南米西岸,4,"562,969",4,"562,969",4,"562,969",4,"562,969"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,5,"231,586",5,"231,586",5,"231,586",5,"231,586"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-
東南アジア,140,"3,514,454",140,"3,514,454",140,"3,514,454",140,"3,514,454"
台湾,-,-,-,-,-,-,-,-
韓国,43,"374,913",43,"374,913",43,"374,913",43,"374,913"
中国(香港含む),161,"1,865,922",161,"1,865,922",161,"1,865,922",161,"1,865,922"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,23,"249,909",23,"249,909",-,-,-,-
内航計,"1,465","3,551,301","1,465","3,551,301",268,"1,879,757",268,"1,879,757"
内航定期計,535,"2,543,130",535,"2,543,130",259,"1,867,377",259,"1,867,377"
北海道,89,"1,041,977",89,"1,041,977",89,"1,041,977",89,"1,041,977"
東北,65,"51,822",65,"51,822",61,"48,826",61,"48,826"
関東,105,"28,682",105,"28,682",2,998,2,998
伊豆諸島,143,"316,537",143,"316,537",-,-,-,-
中部,20,"15,960",20,"15,960",20,"15,960",20,"15,960"
近畿,17,"35,962",17,"35,962",17,"35,962",17,"35,962"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,75,"830,789",75,"830,789",49,"502,253",49,"502,253"
沖縄,21,"221,401",21,"221,401",21,"221,401",21,"221,401"
内航不定期,930,"1,008,171",930,"1,008,171",9,"12,380",9,"12,380"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
