地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,平成23年の増減
0,13000,総数,-27,-1517,9836,5322,2922,-31,-2168,846,1203,1519,626,-1326,17205
1,13100,区部,225,-616,8320,2738,1553,-158,-1491,879,592,1426,532,-1101,12899
1,13200,市部,-205,-883,1693,2482,1364,140,-679,-59,553,113,104,-220,4403
2,13300,郡部,-42,4,22,-27,-6,-15,-6,14,34,-24,-6,12,-40
2,13350,島部,-5,-22,-199,129,11,2,8,12,24,4,-4,-17,-57
1,13100,区部,225,-616,8320,2738,1553,-158,-1491,879,592,1426,532,-1101,12899
4,13101,千代田区,53,20,102,7,40,2,11,55,19,-57,30,-1,281
4,13102,中央区,202,155,458,113,96,86,113,84,118,114,91,150,1780
4,13103,港区,78,129,155,-105,52,46,-243,109,137,171,212,5,746
4,13104,新宿区,-30,-300,98,-418,-87,-294,-141,-140,369,140,35,-138,-906
4,13105,文京区,46,32,426,87,76,-49,-21,121,120,80,-9,-33,876
4,13106,台東区,46,20,91,96,51,-9,102,44,45,71,100,-41,616
4,13107,墨田区,39,-39,83,-18,6,-26,-189,65,74,-57,23,-51,-90
4,13108,江東区,102,296,779,296,211,109,61,191,105,139,66,39,2394
4,13109,品川区,66,4,584,183,80,7,-104,89,29,134,72,-42,1102
4,13110,目黒区,25,28,269,121,70,30,-166,72,56,48,-30,-128,395
4,13111,大田区,-121,-126,641,157,123,144,-173,26,41,80,66,-184,674
4,13112,世田谷区,82,-119,837,770,259,-13,27,391,16,167,60,36,2513
4,13113,渋谷区,121,-72,105,50,229,90,-132,84,88,27,226,22,838
4,13114,中野区,-135,-72,328,72,-250,-279,9,-40,-66,-81,-233,68,-679
4,13115,杉並区,-58,-195,550,309,7,17,-151,-5,-70,102,-60,-135,311
4,13116,豊島区,-4,-176,675,439,3,-53,-12,24,-54,152,-58,73,1009
4,13117,北区,-79,-94,-59,3,29,4,-71,-114,-23,82,-47,-193,-562
4,13118,荒川区,-8,-121,354,-63,41,-3,-9,91,13,67,167,68,597
4,13119,板橋区,-12,-57,259,168,107,-81,-41,-62,-36,-17,-23,-52,153
4,13120,練馬区,-39,92,813,-45,51,81,-23,32,15,49,-11,-139,876
4,13121,足立区,-47,73,452,188,172,69,-99,-37,-64,76,-26,136,893
4,13122,葛飾区,-149,32,141,41,82,18,-137,-178,-76,-65,-107,-171,-569
