地域階層,地域コード,地域,1月中／転出者数,2月中／転出者数,3月中／転出者数,4月中／転出者数,5月中／転出者数,6月中／転出者数,7月中／転出者数,8月中／転出者数,9月中／転出者数,10月中／転出者数,11月中／転出者数,12月中／転出者数,平成23年中の転出者数
0,13000,総数,21622,24556,58277,44066,27602,25511,28157,26398,24747,26258,22405,24058,353657
1,13100,区部,16212,18325,41806,32201,20642,19271,21200,19719,18713,19633,17129,18265,263116
1,13200,市部,5348,6155,16112,11690,6872,6148,6899,6572,5959,6547,5222,5715,89239
2,13300,郡部,38,28,91,71,38,59,32,60,43,45,34,43,582
2,13350,島部,24,48,268,104,50,33,26,47,32,33,20,35,720
1,13100,区部,16212,18325,41806,32201,20642,19271,21200,19719,18713,19633,17129,18265,263116
4,13101,千代田区,97,98,313,330,117,150,150,120,150,151,91,114,1881
4,13102,中央区,251,286,660,546,401,358,355,322,347,354,318,313,4511
4,13103,港区,468,431,1103,880,639,584,614,580,485,544,454,503,7285
4,13104,新宿区,627,790,1694,1483,884,820,941,873,797,842,657,738,11146
4,13105,文京区,343,389,1281,966,518,435,496,419,427,426,367,433,6500
4,13106,台東区,321,328,677,622,371,375,405,365,349,410,343,378,4944
4,13107,墨田区,382,464,945,774,491,512,548,486,468,547,434,451,6502
4,13108,江東区,760,748,1857,1389,929,813,824,903,825,912,754,807,11521
4,13109,品川区,697,806,1699,1281,954,847,897,836,830,928,818,871,11464
4,13110,目黒区,554,582,1377,1245,700,724,753,706,662,669,574,659,9205
4,13111,大田区,1441,1650,3801,2752,1892,1495,1931,1883,1691,1879,1628,1705,23748
4,13112,世田谷区,1680,2037,4560,3516,2093,1970,2276,2073,1834,1879,1713,1845,27476
4,13113,渋谷区,426,438,856,817,514,540,565,512,451,519,452,480,6570
4,13114,中野区,616,689,1409,1340,821,864,839,669,748,787,691,699,10172
4,13115,杉並区,988,1243,2610,2157,1351,1223,1335,1198,1169,1163,1009,1153,16599
4,13116,豊島区,523,611,1283,1048,656,682,657,619,564,624,533,598,8398
4,13117,北区,628,742,1591,1381,814,663,800,763,693,744,691,675,10185
4,13118,荒川区,279,312,624,528,326,360,349,350,333,335,290,313,4399
4,13119,板橋区,1082,1150,2601,1629,1208,1210,1267,1125,1198,1160,1077,1052,15759
4,13120,練馬区,1252,1360,3291,2571,1575,1362,1578,1537,1394,1513,1209,1376,20018
4,13121,足立区,968,1046,2284,1671,1222,1137,1218,1152,1155,1134,1089,1031,15107
4,13122,葛飾区,656,736,1504,1358,847,748,887,752,786,775,729,771,10549
4,13123,江戸川区,1173,1389,3786,1917,1319,1399,1515,1476,1357,1338,1208,1300,19177
1,13200,市部,5348,6155,16112,11690,6872,6148,6899,6572,5959,6547,5222,5715,89239
4,13201,八王子市,720,915,2504,1407,868,643,774,779,688,764,586,673,11321
4,13202,立川市,199,278,722,462,276,253,282,287,301,279,211,210,3760
4,13203,武蔵野市,235,255,575,557,279,266,298,279,267,284,235,247,3777
4,13204,三鷹市,214,279,759,604,363,290,348,323,304,318,261,253,4316
4,13205,青梅市,178,98,294,192,129,119,113,131,109,129,118,121,1731
4,13206,府中市,294,407,1031,851,456,454,429,461,401,488,326,390,5988
4,13207,昭島市,82,99,279,258,126,109,155,127,118,126,113,111,1703
4,13208,調布市,343,363,1026,751,475,420,545,426,442,412,357,397,5957
4,13209,町田市,741,924,1712,1362,869,842,872,910,784,841,756,786,11399
4,13210,小金井市,175,208,659,462,230,220,257,204,192,239,178,170,3194
4,13211,小平市,226,279,991,581,292,275,310,292,253,300,217,247,4263
