地域階層,地域コード,地域,1月中／死亡数,2月中／死亡数,3月中／死亡数,4月中／死亡数,5月中／死亡数,6月中／死亡数,7月中／死亡数,8月中／死亡数,9月中／死亡数,10月中／死亡数,11月中／死亡数,12月中／死亡数,平成23年中の死亡数
0,13000,総数,11007,8850,9490,8370,8973,8404,7824,8925,8074,8437,8692,8868,105914
1,13100,区部,7589,6048,6579,5827,6139,5782,5404,6157,5536,5715,5891,6061,72728
1,13200,市部,3287,2691,2779,2418,2715,2506,2337,2660,2448,2617,2685,2715,31858
2,13300,郡部,85,74,90,78,85,75,59,81,70,74,71,58,900
2,13350,島部,46,37,42,47,34,41,24,27,20,31,45,34,428
1,13100,区部,7589,6048,6579,5827,6139,5782,5404,6157,5536,5715,5891,6061,72728
4,13101,千代田区,44,28,40,25,25,34,28,18,33,36,39,30,380
4,13102,中央区,87,87,72,68,61,71,62,73,67,67,72,58,845
4,13103,港区,154,129,130,110,123,138,110,138,89,113,133,126,1493
4,13104,新宿区,251,233,230,202,192,183,208,227,200,192,198,208,2524
4,13105,文京区,139,123,136,136,132,125,131,142,118,110,139,153,1584
4,13106,台東区,192,172,171,153,174,161,127,158,143,165,129,165,1910
4,13107,墨田区,268,201,229,200,236,162,165,180,156,196,202,173,2368
4,13108,江東区,386,249,337,285,283,280,277,313,294,266,291,293,3554
4,13109,品川区,299,230,265,242,243,244,203,242,220,226,232,221,2867
4,13110,目黒区,216,169,155,142,147,162,144,187,157,134,161,153,1927
4,13111,大田区,616,493,485,457,504,497,461,511,430,471,477,501,5903
4,13112,世田谷区,601,479,515,454,499,487,486,499,463,455,443,515,5896
4,13113,渋谷区,172,146,136,112,105,128,125,143,112,110,129,111,1529
4,13114,中野区,276,227,236,198,219,203,173,222,193,210,237,219,2613
4,13115,杉並区,471,337,378,304,346,342,277,329,326,299,366,355,4130
4,13116,豊島区,238,219,192,197,197,188,190,188,192,198,204,196,2399
4,13117,北区,356,309,388,254,309,251,241,280,288,258,260,272,3466
4,13118,荒川区,215,184,177,150,155,150,140,173,136,168,169,148,1965
4,13119,板橋区,442,309,441,491,376,394,339,356,325,378,337,382,4570
4,13120,練馬区,519,455,473,425,475,386,392,473,415,411,449,453,5326
4,13121,足立区,679,480,585,478,550,508,439,535,457,486,474,535,6206
4,13122,葛飾区,439,344,398,359,359,316,299,363,339,368,344,354,4282
4,13123,江戸川区,529,445,410,385,429,372,387,407,383,398,406,440,4991
1,13200,市部,3287,2691,2779,2418,2715,2506,2337,2660,2448,2617,2685,2715,31858
4,13201,八王子市,463,354,416,327,400,372,291,383,334,378,408,393,4519
4,13202,立川市,160,124,133,108,119,118,116,121,87,116,115,121,1438
4,13203,武蔵野市,110,89,99,80,93,82,85,76,73,91,86,90,1054
