地域階層,地域コード,地域,1月中／その他の増減,2月中／その他の増減,3月中／その他の増減,4月中／その他の増減,5月中／その他の増減,6月中／その他の増減,7月中／その他の増減,8月中／その他の増減,9月中／その他の増減,10月中／その他の増減,11月中／その他の増減,12月中／その他の増減,平成23年中の増減
0,13000,総数,-636,-2061,581,-3325,-1689,-1854,-2211,-3038,1269,1147,-1812,-3324,-16953
1,13100,区部,-705,-1741,478,-3268,-1481,-1946,-1866,-2334,772,1173,-1734,-2786,-15438
1,13200,市部,70,-321,91,-41,-201,82,-339,-719,488,-25,-85,-531,-1531
2,13300,郡部,-6,-1,8,-11,0,5,-5,11,8,4,4,-2,15
2,13350,島部,5,2,4,-5,-7,5,-1,4,1,-5,3,-5,1
1,13100,区部,-705,-1741,478,-3268,-1481,-1946,-1866,-2334,772,1173,-1734,-2786,-15438
4,13101,千代田区,9,-2,-15,-23,-18,-19,-4,-10,36,-70,19,-17,-114
4,13102,中央区,16,10,-28,-15,-9,-35,0,14,-3,-36,-15,-69,-170
4,13103,港区,-147,84,-99,-272,-75,-106,-549,-31,76,29,-99,-239,-1428
4,13104,新宿区,-104,-404,-271,-677,-206,-570,-21,-352,419,328,-72,-96,-2026
4,13105,文京区,-43,15,50,-151,22,-69,-3,-54,162,92,-57,-71,-107
4,13106,台東区,-44,28,30,-25,45,15,95,-65,60,18,6,-63,100
4,13107,墨田区,38,-3,21,-32,-39,40,-64,9,56,28,-50,17,21
4,13108,江東区,54,-71,-188,31,-253,-67,-80,73,83,-34,-54,-35,-541
4,13109,品川区,-60,-9,79,-90,-24,-62,-113,-95,-2,30,-47,-138,-531
4,13110,目黒区,-23,5,21,0,20,28,-89,-123,38,46,-62,-103,-242
4,13111,大田区,118,121,60,52,153,-11,116,211,198,187,100,-19,1286
4,13112,世田谷区,-103,-189,38,-200,-84,-67,-171,-117,13,38,-134,-209,-1185
4,13113,渋谷区,-3,-66,-47,-279,55,-86,-229,31,81,29,-75,-116,-705
4,13114,中野区,-270,-46,20,-75,-431,-343,-16,-315,-19,27,-320,-60,-1848
