区分１,区分２,件数（件）,数量,単位,部局
土地,過大に登載されているもの ,1,0.06,m2,建設局
土地,登載漏れとなっているもの ,1,21.64,m2,建設局
建物,過大に登載されているもの ,6,1349.03,m2,福祉保健局 、建設局
建物,登載漏れとなっているもの ,4,3729.97,m2,総務局、福祉保健局、東京消防庁
出資による権利,過大に登載されているもの ,1,"4,847,444",円,産業労働局 
出資による権利,登載漏れとなっているもの ,3,"60,768,775",円,環境局、産業労働局
