指摘区分,指摘,意見・要望,合計,うち重点監査事項
設計(条件明示等),1,,1,
設計(工法等の選定),1,1,2,
積算(単価設定),6,2,8,
積算(諸経費等),8,,8,
施工(施工管理),2,,2,2
施工(変更手続),1,,1,1
その他(設計・施工ほか),5,,5,3
合計,24,3,27,6
