指摘区分,件数
設計(条件明示等),3
設計(工法等の選定),5
設計(リサイクル),1
積算(単価設定),2
積算(数量算出),2
積算(諸経費等),2
施工(施工管理),5
施工(安全対策),1
施工(変更手続),1
その他(契約事務手続),2
その他(その他),7
