対象局,実地監査期間,対象件数(件),抽出件数(件),対象金額(百万円),抽出金額(百万円)
総務局,R3.10.8～R3.10.11,38,14(36.8%),630,437(69.4%)
財務局,R3.6.29～R3.7.9,395,110(27.8%),"205,307","127,602(62.2%)"
主税局,R3.4.16～R3.4.20,125,18(14.4%),"1,340",516(38.6%)
生活文化局,R3.4.16～R3.4.20,60,12(20.0%),853,551(64.6%)
オリンピック・パラリンピック準備局,R3.10.4～R3.10.11,34,20(58.8%),"1,743","1,034(59.4%)"
都市整備局,R3.10.1～R3.10.5,195,21(10.8%),"15,111","2,883(19.1%)"
住宅政策本部,R3.7.9～R3.10.18,688,104(15.1%),"135,984","47,979(35.3%)"
環境局,R3.2.16～R3.2.26,123,28(22.8%),"2,763","1,875(67.9%)"
産業労働局,R3.2.16～R3.2.26,171,30(17.5%),"3,560","1,660(46.6%)"
中央卸売市場,R3.1.27～R3.2.1,503,78(15.5%),"18,636","5,176(27.8%)"
建設局,R3.4.22～R3.10.15,7023,258(3.7%),"592,729","252,981(42.7%)"
港湾局,R3.2.3～R3.2.19,925,86(9.3%),"104,669","29,651(28.3%)"
東京消防庁,R3.1.20～R3.1.24,600,91(15.2%),"29,819","13,782(46.2%)"
交通局,R3.1.12～R3.1.19,856,104(12.1%),"243,670","86,465(35.5%)"
水道局,R3.10.11～R3.10.13,54,20(37.0%),"20,959","20,678(98.7%)"
下水道局,R3.4.22～R3.7.2,"1,344",83(6.2%),"281,779","71,305(25.3%)"
教育庁,R3.1.27～R3.2.5,818,73(8.9%),"16,229","5,142(31.7%)"
警視庁,R3.10.1～R3.10.4,"1,062",29(2.7%),"89,627","23,554(26.3%)"
島しょ,R3.6.23～R3.6.28,"1,999",131(6.6%),"71,501","21,551(30.1%)"
合計,,"17,013","1,310(7.7%)","1,837,066","714,832(38.9%)"
