監査種別,監査実施期間,結果内訳,措置対象,措置済,今回通知,改善中
令和3年定例監査（令和2年度執行分）,令和3.1.12～令和4.1.27,指摘,70,70,－ ,－ 
令和3年定例監査（令和2年度執行分）,令和3.1.12～令和4.1.27,意見・要望,4,2,－ ,2
令和3年定例監査（令和2年度執行分）,令和3.1.12～令和4.1.27,計,74,72,－ ,2
令和2年度公営企業各会計決算審査,令和3.6.1～令和3.9.7,指摘,2,1,1,－ 
令和2年度公営企業各会計決算審査,令和3.6.1～令和3.9.7,意見・要望,2,2,－ ,－ 
令和2年度公営企業各会計決算審査,令和3.6.1～令和3.9.7,計,4,3,1,－ 
令和4年定例監査（令和3年度執行分）,令和4.1.6～令和4.9.6,指摘,92,80,7,5
令和4年定例監査（令和3年度執行分）,令和4.1.6～令和4.9.6,意見・要望,3,2,－ ,1
令和4年定例監査（令和3年度執行分）,令和4.1.6～令和4.9.6,計,95,82,7,6
令和4年工事監査,令和4.1.11～令和5.1.12,指摘,27,26,1,－ 
令和4年工事監査,令和4.1.11～令和5.1.12,意見・要望,1,1,－ ,－ 
令和4年工事監査,令和4.1.11～令和5.1.12,計,28,27,1,－ 
令和3年度公営企業各会計決算審査,令和4.6.1～令和4.9.6,指摘,3,2,1,－ 
令和3年度公営企業各会計決算審査,令和4.6.1～令和4.9.6,意見・要望,－ ,－ ,－ ,－ 
令和3年度公営企業各会計決算審査,令和4.6.1～令和4.9.6,計,3,2,1,－ 
令和4年財政援助団体等監査,令和4.9.5～令和5.2.3,指摘,50,46,2,2
令和4年財政援助団体等監査,令和4.9.5～令和5.2.3,意見・要望,8,4,3,1
令和4年財政援助団体等監査,令和4.9.5～令和5.2.3,計,58,50,5,3
令和5年定例監査（令和4年度執行分）,令和5.1.6～令和5.9.7,指摘,116,－ ,85,31
令和5年定例監査（令和4年度執行分）,令和5.1.6～令和5.9.7,意見・要望,2,－ ,1,1
令和5年定例監査（令和4年度執行分）,令和5.1.6～令和5.9.7,計,118,－ ,86,32
令和4年度公営企業各会計決算審査,令和5.6.1～令和5.9.7,指摘,3,－ ,3,－ 
令和4年度公営企業各会計決算審査,令和5.6.1～令和5.9.7,意見・要望,-,－ ,－ ,－ 
令和4年度公営企業各会計決算審査,令和5.6.1～令和5.9.7,計,3,－ ,3,－ 
令和4年度各会計歳入歳出決算審査,令和5.7.10～令和5.9.7,指摘,32,－ ,32,－ 
令和4年度各会計歳入歳出決算審査,令和5.7.10～令和5.9.7,意見・要望,－ ,－ ,－ ,－ 
令和4年度各会計歳入歳出決算審査,令和5.7.10～令和5.9.7,計,32,－ ,32,－ 
