指摘区分,件数
設計(条件明示等),2
設計(工法等の選定),1
積算(単価設定),7
積算(数量算出),3
積算(諸経費等),1
施工(施工管理),9
施工(安全対策),2
設計・施工(設計・施工),1
その他(契約事務手続),2
