オリンピック・パラリンピック準備局、福祉保健局、産業労働局、教育庁,調定額（円）,収入済額（円）,不納欠損額（円）,収入未済額（円）,還付未済額（円）
過大に計上されているもの,"59,292,712","58,487,505",―,"3,559,841","2,754,634"
過少に計上されているもの,"58,487,505","58,487,505",―,―,―
