区分・団体名,指摘（団体）,指摘（局及び団体）,指摘（局）,意見・要望,合計
(補助金)学校法人７０団体 ,,1,,,1
(補助金)文化財保存事業費補助金交付４団体,,,1,,1
(補助金)公益財団法人東京都歴史文化財団,10,1,1,,12
(補助金)社会福祉法人等３５団体,,18,,,18
(補助金)公益財団法人東京観光財団,3,1,,,4
(補助金)三宅村商工会,,,,,
(補助金)小笠原島漁業協同組合 ,,,,,
(出資)社会福祉法人東京都社会福祉事業団,5,,,1,6
(出資)公益財団法人東京都つながり創生財団,,,,,
(出資)株式会社はとバス,,,,,
(出資)公益財団法人東京都医学総合研究所,,,,,
(出資)東京熱供給株式会社,,,,,
(出資)公益財団法人東京都都市づくり公社,2,,,1,3
(出資)東京臨海高速鉄道株式会社,,,,,
(出資)株式会社建設資源広域利用センター,,,,,
(出資)株式会社東京ビッグサイト,2,,1,,3
(指定管理者)社会福祉法人全国重症心身障害児（者）を守る会,,2,,,2
合計,22,23,3,2,50
