区分１,区分２,件数（件）,数量,単位,部局,
建物,過大に登載されているもの ,9,625.51,m2,福祉保健局 ,
建物,登載漏れとなっているもの ,1,379.81,m2,福祉保健局 ,
著作権,登載漏れとなっているもの ,1, ,,福祉保健局 ,
商標権,登載漏れとなっているもの ,1, ,,政策企画局 ,
出資による権利,過大に登載されているもの ,2,"90,760,633",円,産業労働局 ,
出資による権利,登載漏れとなっているもの ,2,"312,159,561",円,オリンピック・パラリンピック準備局、産業労働局 ,
,,,,,,
,,,,,,
,,,,,,
