区分１,区分２,件数（件）,数量,単位,部局,
土地,登載漏れとなっているもの,2,708.94,m2,建設局,
建物,過大に登載されているもの,10,234.88,m2,建設局,
著作権,登載漏れとなっているもの,1,,,福祉保健局,
商標権,登載漏れとなっているもの,2,,,都市整備局,
出資による権利,登載漏れとなっているもの,2,"17,276,423",円,産業労働局,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
