項 目 ,検体数,ジフェニル,,"オルトフェニル
フェノール",,チアベンダゾール,,イマザリル,,検体数,フルジオキソニル,,ピリメタニル,
品 名,,"検出
検体数",最大値（ppm）,"検出
検体数",最大値（ppm）,"検出
検体数",最大値（ppm）,"検出
検体数",最大値（ppm）,,"検出
検体数",最大値（ppm）,"検出
検体数",最大値（ppm）
オレンジ(全果),15,0,ND,0,ND,14,0.0015,14,0.0016,4,1,0.00039,0,ND
グレープフルーツ(全果),11,0,ND,1,0.001,9,0.0012,11,0.0018,3,0,ND,1,0.00002
レモン(全果),10,0,ND,0,ND,8,0.0017,9,0.0018,2,2,0.00116,0,ND
バナナ(全果),2,0,ND,0,ND,0,ND,0,ND,0,-,-,-,-
バナナ(果肉),2,0,ND,0,ND,0,ND,0,ND,0,-,-,-,-
合計,40,0,,1,,31,,34,,9,3,,1,
