番号,農産物名,生産地,検体数,検出検体数,検出検体数内訳生産地,検出検体数内訳検出農薬及び検出値（ppm）,
1,アスパラガス,"オーストラリア1、中国1、ペルー2、
メキシコ2",6,0,,,
2,いちご,アメリカ2,2,0,,,
3,エンダイブ,ベルギー1,1,0,,,
4,オレンジ,アメリカ3、オーストラリア1,4,1,オーストラリア,クロルピリホス0.01ppm,
5,かぼちゃ,韓国1、ニュージーランド2、メキシコ2,5,0,,,
6,カリフラワー,中国1,1,0,,,
7,トレビス,アメリカ2,2,0,,,
8,グレープフルーツ,アメリカ1、イスラエル1、南アフリカ1,3,2,アメリカ,フェンプロパトリン0.05ppm,
9,グレープフルーツ,アメリカ1、イスラエル1、南アフリカ1,3,2,イスラエル,クロルピリホス0.11ppm,
10,さといも,中国1,1,0,,,
11,セロリ,アメリカ1,1,1,アメリカ,プロピコナゾール0.02ppm,
12,菜の花,中国1,1,0,,,
13,ドラゴンフルーツ,ベトナム1,1,0,,,
14,メロゴールド,アメリカ1,1,0,,,
15,シイタケ,中国1,1,0,,,
16,松茸,中国1,1,0,,,
17,コールラビ,ドイツ1,1,0,,,
18,キウイ,ニュージーランド2,2,0,,,
19,チェリー,アメリカ2,2,1,アメリカ,"シハロトリン0.08ppm、テブコナゾール0.12ppm、
フェンプロパトリン0.30ppm、フルジオキソニル0.05ppm",
20,パイナップル,フィリピン4,4,0,,,
21,パパイヤ,アメリカ2、フィリピン1,3,0,,,
22,ベビーコーン,タイ2,2,0,,,
23,オクラ,フィリピン2,2,0,,,
24,くわい,中国1,1,0,,,
25,まこもたけ,台湾1,1,0,,,
26,そらまめ,中国1,1,0,,,
27,紅芯大根,中国1,1,0,,,
28,たけのこ,中国1,1,0,,,
29,タマネギ,中国1,1,0,,,
30,チコリ,ベルギー1,1,0,,,
31,ニンジン,中国1,1,0,,,
32,リーキ,オーストラリア1、ニュージーランド1,2,0,,,
33,バナナ,フィリピン1、エクアドル1,2,1,エクアドル,ビフェントリン0.01ppm,
34,パプリカ,韓国4,4,0,,,
35,ぶどう,アメリカ2、チリ2、オーストラリア1,5,4,アメリカ,ピリメタニル0.01ppm,
35,ぶどう,アメリカ2、チリ2、オーストラリア1,5,4,アメリカ,ミクロブタニル0.02ppm,
35,ぶどう,アメリカ2、チリ2、オーストラリア1,5,4,チリ,フェンプロパトリン0.01ppm,
35,ぶどう,アメリカ2、チリ2、オーストラリア1,5,4,チリ,"テブコナゾール0.43ppm、ピリメタニル1.24ppm、
フルジオキソニル0.61ppm",
36,ブルーベリー,メキシコ1,1,1,メキシコ,ビフェントリン0.02ppm,
37,ブロッコリー,アメリカ2、中国1,3,0,,,
38,マンゴー,メキシコ2、ブラジル1,3,0,,,
39,芽キャベツ,オーストラリア１,1,0,,,
40,メロン類果実,アメリカ1、メキシコ1、オーストラリア1,3,0,,,
41,ラズベリー,アメリカ1,1,0,,,
42,りんご,ニュージーランド1,1,0,,,
43,レモン,アメリカ2,2,0,,,
44,未成熟いんげん,オマーン１,1,0,,,
45,未成熟えんどう,中国1,1,1,中国,ジフェノコナゾール0.02ppm,
　　合　　計,,,85,12,,,
