番号,農産物名,生産地及び検体数,検体数,検出検体数,検出検体数内訳生産地,検出検体数内訳検出農薬及び検出値（ppm）,
1,いちご,茨城県2、栃木県1,3,2,茨城県,エトキサゾール0.08ppm,
2,いちご,茨城県2、栃木県1,3,2,栃木県,プロシミドン0.26ppm,
3,カリフラワー,新潟県1,1,0,,,
4,かんしょ,千葉県2,2,0,,,
5,キャベツ,岩手県2、茨城県1、群馬県5、愛知県1,9,1,群馬県,プロシミドン0.02ppm,
6,きゅうり,秋田県2、福島県2、群馬県1,5,0,,,
7,きょうな（みず菜）,茨城県5,5,0,,,
8,小松菜,茨城県1,1,0,,,
9,さといも,埼玉県1,1,0,,,
10,すいか,山形県1,1,0,,,
11,セロリ,長野県1,1,0,,,
12,ニガウリ,栃木県1,1,0,,,
13,その他のかんきつ類果実（清見）,愛媛県1、佐賀県1,2,0,,,
14,その他のかんきつ類果実（シラヌヒ）,佐賀県1、熊本県1,2,2,佐賀県,クロルピリホス0.20ppm,
15,その他のかんきつ類果実（シラヌヒ）,佐賀県1、熊本県1,2,2,熊本県,フェントエート0.06ppm,
16,柿,和歌山県1,1,0,,,
17,だいこん類の根,北海道1、埼玉県1、千葉県3,5,0,,,
18,チンゲンサイ,茨城県2,2,0,,,
19,トマト,青森県1、福島県3、千葉県1,5,0,,,
20,なす,栃木県1、埼玉県1,2,0,,,
21,にんじん,徳島県2,2,0,,,
22,はくさい,茨城県2、長野県1,3,0,,,
23,ばれいしょ,静岡県1、長崎県1,2,0,,,
24,ピーマン,岩手県1、茨城県1,2,0,,,
25,ぶどう,山形県1、山梨県2、長野県1,4,2,山形県,テブコナゾール0.04ppm,
26,ぶどう,山形県1、山梨県2、長野県1,4,2,長野県,テブコナゾール0.05ppm,
27,ブロッコリー,愛知県1,1,0,,,
28,ほうれんそう,栃木県1、群馬県2,3,1,栃木県,テフルトリン0.02ppm,
29,みかん,熊本県1、長崎県1,2,0,,,
30,メロン類果実,山形県1、茨城県1,2,0,,,
31,もも,山梨県1,1,0,,,
32,りんご,青森県3、山形県1,4,0,,,
33,レタス,長野県5,5,0,,,
34,日本なし,"福島県1、茨城県1、栃木県1、千葉県2、
佐賀県1",6,5,福島県,シラフルオフェン0.02ppm、クレソキシムメチル0.07ppm,
35,日本なし,"福島県1、茨城県1、栃木県1、千葉県2、
佐賀県1",6,5,茨城県,シラフルオフェン0.02ppm,
36,日本なし,"福島県1、茨城県1、栃木県1、千葉県2、
佐賀県1",6,5,千葉県,ビフェントリン0.07ppm、クレソキシムメチル0.01ppm,
37,日本なし,"福島県1、茨城県1、栃木県1、千葉県2、
佐賀県1",6,5,千葉県,"クレソキシムメチル0.02ppm、テブコナゾール0.03ppm、
ビフェントリン0.02ppm",
38,日本なし,"福島県1、茨城県1、栃木県1、千葉県2、
佐賀県1",6,5,佐賀県,テブコナゾール0.18ppm,
合計,,,86,13,,,
