品名,主要用途,使用基準対象食品,使用基準使用量等の最大限度,使用基準使用制限
ジフェニル,防かび剤,"グレープフルーツ、
レモン、オレンジ類",0.070g/kg以上残存しないように使用しなければならない。,"貯蔵又は運搬の用に供する
容器の中に入れる紙片に浸
潤させて使用する場合以外
に使用してはならない。"
"オルトフェニル
フェノール",防かび剤,かんきつ類,オルトフェニルフェノールとして0.010g/kgを超えて残存しないように使用しなければならない。,
"オルトフェニル
フェノールナトリウム",防かび剤,かんきつ類,オルトフェニルフェノールとして0.010g/kgを超えて残存しないように使用しなければならない。,
"チアベンダゾール
（TBZ）",防かび剤,かんきつ類,0.010g/kgを超えて残存しないように使用しなければならない。,
"チアベンダゾール
（TBZ）",防かび剤,バナナ（全体）,0.0030g/kgを超えて残存しないように使用しなければならない。,
"チアベンダゾール
（TBZ）",防かび剤,バナナ（果肉）,0.0004g/kgを超えて残存しないように使用しなければならない。,
イマザリル,防かび剤,"かんきつ類
（みかんを除く）",0.0050g/kgを超えて残存しないように使用しなければならない。,
イマザリル,防かび剤,バナナ,0.0020g/kgを超えて残存しないように使用しなければならない。,
"フルジオキソニル
",防かび剤,"キウィー
パイナップル（冠芽を除く）",0.020g/kgを超えて残存しないように使用しなければならない。,
"フルジオキソニル
",防かび剤,"かんきつ類
（みかんを除く）",0.010g/kgを超えて残存しないように使用しなければならない。,
"フルジオキソニル
",防かび剤,ばれいしょ,0.0060g/kgを超えて残存しないように使用しなければならない。,
"フルジオキソニル
",防かび剤,アボカド（種子を除く）、あんず（種子を除く）、おうとう（種子を除く）、すもも（種子を除く）、ネクタリン（種子を除く）、パパイヤ、もも（種子を除く）、ざくろ、西洋なし、びわ、マルメロ、りんご、マンゴー（種子を除く）,0.0050g/kgを超えて残存しないように使用しなければならない。,
ピリメタニル,防かび剤,あんず、おうとう、かんきつ類（みかんを除く）、すもも、もも,0.010g/kgを超えて残存しないように使用しなければならない。,
ピリメタニル,防かび剤,西洋なし、マルメロ、りんご,0.014g/kgを超えて残存しないように使用しなければならない。,
