番号,検体名,生産地,検体数,検出検体数
1,アサリ,千葉県1,1,0
2,アユ,静岡県1,1,0
3,イシガレイ,茨城県1,1,0
4,イワナ,宮城県1,1,0
5,サクラマス,北海道1,1,0
6,シマアジ（養殖）,愛媛県1,1,0
7,スズキ,千葉県1、神奈川県1,2,0
8,コイ,群馬県1,1,0
9,ニジマス,静岡県1,1,0
10,ヒラメ（養殖）,宮城県1,1,0
11,ホンビノスガイ,千葉県1,1,0
12,マアジ,大分県1,1,0
13,マガキ（養殖）,岩手県1,1,0
14,マダイ（養殖）,愛媛県1,1,0
15,マコガレイ,千葉県1,1,0
合計,,,16,0
