検体名,検体数,検出検体
アユ,5,0
ウシエビ（ブラックタイガー）,2,0
カンパチ,1,0
サケ,5,0
シマアジ,1,0
シロアシエビ（バナメイ）,1,0
ワラサ,2,0
合計,17,0
