3　外郭施設,,,,,,,,,,
,,,,,,,,,,
　3-（1）防波堤・波除堤,,,,,,,,,,
名　　　称,,,,延長（ｍ）,名　　　称,,,,,延　長　（ｍ）
　防　　　　　　　　　波　　　　　　　　　　堤,,,,"5,126.44",波　　　　　　　　除　　　　　　　　堤,,,,,"3,013.59"
,中央防波堤,,,"3,690.00",,12号地貯木場波除堤,,,,"2,615.40"
,東防波堤,,,615,,城南島小型油槽船だまり波除堤,,,,100
,西防波堤,,,284.5,,芝浦小型船だまり波除堤,,,,171.2
,12号地木材投下泊地防波堤,,,430,,13号地小型船だまり波除堤,,,,126.99
,13号地小型船だまり防波堤,,,106.94,合計,,,,,"8,140.03"
