7　荷　役　機　械,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ふ頭,,,,,,,,,,,,名称,,,,,,,,,"定格荷重
（能力）",,,,,"数量
(基)",,,取扱品種
,,品川ふ頭,,,,,,,,,,,,ガントリークレーン,,,,,,,,,35.6t,,,,,,2,,コンテナ
,,,,,,,,,,,,,,〃,,,,,,,,,40.6t,,,,,,2,,〃
,,青海ふ頭,,,,,,,,,,,,ガントリークレーン,,,,,,,,,30.5ｔ,,,,,,4,,コンテナ
,,,,,,,,,,,,,,〃,,,,,,,,,40.6t,,,,,,8,,〃
,,大井ふ頭,,,,,,,,,,,,ガントリークレーン,,,,,,,,,40.6ｔ,,,,,12,,,コンテナ
,,,,,,,,,,,,,,〃,,,,,,,,,61.0ｔ,,,,,,7,,〃
,,中央防波堤内側ばら物ふ頭,,,,,,,,,,,,アンローダー（走行式）,,,,,,,,,　　　500t/ｈ,,,,,,2,,石炭、コークス、珪砂
,,,,,,,,,,,,,,ベルトコンベヤー,,,,,,,,,"　　1,200t/h",,,,,,1,,
,,中央防波堤外側外貿コンテナふ頭,,,,,,,,,,,,ガントリークレーン,,,,,,,,,65.0ｔ,,,,,,6,,コンテナ
