11　港　湾　厚　生　施　設,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　11-（6）港湾労働者サービスセンター(東京都設置）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,名称,,,,,,,,,,所在地,,,,,,,,,,内容,,,,,,,構造,,,,,,,,,面積(㎡),,,,運営者
,"東京港大井
サービスセンター",,,,,,,,,,大田区東海四丁目1番,,,,,,,,,,売店（ｺﾝﾋﾞﾆ型）、休憩室,,,,,,,鉄筋コンクリート造平屋建,,,,,,,,,284.82,,,,（一財）東京港湾福利厚生協会
,,,,,,,,,,,　　　　　　03-５７５５-０７５５,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"東京港大井南部
サービスセンター",,,,,,,,,,大田区東海5丁目5番1号,,,,,,,,,,売店（ｺﾝﾋﾞﾆ型）、休憩室,,,,,,,鉄筋コンクリート造4階建のうち1階一部分,,,,,,,,,387.91,,,,
,,,,,,,,,,,　　　　　　03-５４９２-１８５８,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"東京港青海
サービスセンター",,,,,,,,,,江東区青海四丁目4番1号,,,,,,,,,,売店（ｺﾝﾋﾞﾆ型）、休憩室、食堂,,,,,,,鉄筋コンクリート造2階建のうち１階部分,,,,,,,,,586.34,,,,
,,,,,,,,,,,　　　　　　03-３５２０-０６７１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"東京港芝浦
サービスセンター",,,,,,,,,,港区海岸三丁目26番1号,,,,,,,,,,休憩室、食堂、会議室、多目的ﾎｰﾙ、ﾄﾚｰﾆﾝｸﾞﾙｰﾑ,,,,,,,鉄筋コンクリート造14階建のうち1階～3階部分,,,,,,,,,"3,020.92",,,,
,,,,,,,,,,,　　　　　　03-５４４３-８７６０,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"東京港有明
サービスセンター",,,,,,,,,,江東区有明四丁目4番24号,,,,,,,,,,売店（ｺﾝﾋﾞﾆ型）、休憩室、食堂、会議室、仮眠室,,,,,,,鉄筋コンクリート造2階建,,,,,,,,,"1,394.02",,,,
,,,,,,,,,,,　　　　　　03-３５２９-２７９４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"東京港城南島
サービスセンター",,,,,,,,,,大田区城南島二丁目9番1号,,,,,,,,,,売店（ｺﾝﾋﾞﾆ型）、休憩室,,,,,,,鉄骨造平屋建（建物は協会が建設）,,,,,,,,,286.99,,,,
,,,,,,,,,,,　　　　　　03-５４９２-８２７１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"東京港若洲
サービスセンター",,,,,,,,,,江東区若洲一丁目1番4号,,,,,,,,,,売店（ｺﾝﾋﾞﾆ型）、休憩室,,,,,,,鉄骨造平屋建（建物は協会が建設）,,,,,,,,,284.65,,,,
,,,,,,,,,,,　　　　　　03-５５３４-０５２５,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
