"全国地方公共団体コード","ID","地方公共団体名","施設名称","施設名称_カナ","施設名称_英字","営業の種類","業態","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","施設所在地_都道府県","施設所在地_市区町村","施設所在地_町字","施設所在地_番地以下","施設方書","緯度","経度","施設電話番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","法人名","法人番号","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"131032",,"東京都港区","頤和園溜池山王店",,,"飲食店営業",,"131032",,"東京都港区赤坂一丁目１番１２号溜池明産ビル１階","東京都","港区","赤坂一丁目","１番１２号","溜池明産ビル１階",,,,,,,,"株式会社頤和園",,"6港み生食営第14号","2024-04-08","2024-04-08","2024-04-08","2031-04-30",,"新規",,
"131032",,"東京都港区","ゴールデン餃子",,,"飲食店営業",,"131032",,"東京都港区赤坂一丁目１番１６号細川ビル１階","東京都","港区","赤坂一丁目","１番１６号","細川ビル１階",,,,,,,,"株式会社ＲＣＰ",,"3港み生食営第2507号","2021-11-25","2021-11-25","2021-11-25","2028-11-30",,"新規",,
"131032",,"東京都港区","日本財団本社社員食堂",,,"飲食店営業",,"131032",,"東京都港区赤坂一丁目２番２号日本財団本社８階","東京都","港区","赤坂一丁目","２番２号","日本財団本社８階",,,,,,,,"株式会社ＬＥＯＣ",,"5港み生食営第1534号","2023-09-27","2023-09-27","2023-09-27","2030-09-30",,"新規",,
"131032",,"東京都港区","中華いらっしゃい酒場",,,"飲食店営業",,"131032",,"東京都港区赤坂一丁目３番１９号芳明ビル１階","東京都","港区","赤坂一丁目","３番１９号","芳明ビル１階",,,,,,,,"株式会社アリス",,"4港み生食営第1360号","2022-09-12","2022-09-12","2022-09-12","2028-09-30",,"新規",,
"131032",,"東京都港区","新橋やきとん　溜池山王店",,,"飲食店営業",,"131032",,"東京都港区赤坂一丁目４番４号富士野ビル１階","東京都","港区","赤坂一丁目","４番４号","富士野ビル１階",,,,,,,,"株式会社紅フーズコーポレーション",,"4港み生食営第737号","2022-07-04","2022-07-04","2022-07-04","2029-07-31",,"新規",,
"131032",,"東京都港区","さ和長　寿一庵",,,"飲食店営業",,"131032",,"東京都港区赤坂一丁目４番８号赤坂ＢＴビル１階","東京都","港区","赤坂一丁目","４番８号","赤坂ＢＴビル１階",,,,,,,,"株式会社レストレ",,"4港み生食営第1473号","2022-09-28","2022-09-28","2022-09-28","2029-09-30",,"新規",,
"131032",,"東京都港区","すき家　溜池山王店",,,"飲食店営業",,"131032",,"東京都港区赤坂一丁目５番２号外堀通ビル１階","東京都","港区","赤坂一丁目","５番２号","外堀通ビル１階",,,,,,,,"株式会社すき家",,"5港み生食営第361号","2023-05-26","2023-05-26","2023-05-26","2030-05-31",,"新規",,
"131032",,"東京都港区","ドトールコーヒーショップ溜池山王店",,,"飲食店営業",,"131032",,"東京都港区赤坂一丁目５番１４号橋本ビル１階","東京都","港区","赤坂一丁目","５番１４号","橋本ビル１階",,,,,,,,"株式会社ドトールコーヒー",,"3港み生食営第2360号","2021-10-22","2021-10-22","2021-10-22","2028-10-31",,"新規",,
"131032",,"東京都港区","博多らーめん　由丸　溜池店",,,"飲食店営業",,"131032",,"東京都港区赤坂一丁目５番１５号溜池アネックスビル２階","東京都","港区","赤坂一丁目","５番１５号","溜池アネックスビル２階",,,,,,,,"株式会社Ｍ・Ｒ・Ｓ",,"3港み生食営第3154号","2022-01-27","2022-01-27","2022-01-27","2029-01-31",,"新規",,
"131032",,"東京都港区","ビストロ　バズ",,,"飲食店営業",,"131032",,"東京都港区赤坂一丁目８番１号赤坂インターシティＡＩＲ１階店舗１‐ｂ","東京都","港区","赤坂一丁目","８番１号","赤坂インターシティＡＩＲ１階店舗１‐ｂ",,,,,,,,"株式会社アクアプランネット",,"3港み生食営第1221号","2021-06-28","2021-06-28","2021-06-28","2028-06-30",,"新規",,
"131032",,"東京都港区","ベルギービール　アントワープポート",,,"飲食店営業",,"131032",,"東京都港区赤坂一丁目８番１号赤坂インターシティＡＩＲ１階店舗１‐ｃ","東京都","港区","赤坂一丁目","８番１号","赤坂インターシティＡＩＲ１階店舗１‐ｃ",,,,,,,,"株式会社アクアプランネット",,"3港み生食営第1222号","2021-06-28","2021-06-28","2021-06-28","2028-06-30",,"新規",,
"131032",,"東京都港区","ガストロノミー　ＯＬＬＡ！",,,"菓子製造業",,"131032",,"東京都港区赤坂一丁目８番１号赤坂インターシティＡＩＲ１階　店舗６","東京都","港区","赤坂一丁目","８番１号","赤坂インターシティＡＩＲ１階　店舗６",,,,,,,,"株式会社ボネリート",,"3港み生食営第3308号","2022-02-10","2022-02-10","2022-02-10","2029-02-28",,"新規",,
"131032",,"東京都港区","ＡＬＥＧＲＩＡ赤坂",,,"飲食店営業",,"131032",,"東京都港区赤坂一丁目８番１号赤坂インターシティＡＩＲ１階店舗３","東京都","港区","赤坂一丁目","８番１号","赤坂インターシティＡＩＲ１階店舗３",,,,,,,,"合同会社ＨａｐｙＲｅｓ",,"4港み生食営第348号","2022-06-13","2022-06-13","2022-06-13","2029-06-30",,"新規",,
"131032",,"東京都港区","ＴＷＥＬＶＥ　ＧＡＲＤＥＮＳ　ＢＡＲ＆ＧＲＩＬＬ",,,"飲食店営業",,"131032",,"東京都港区赤坂一丁目８番１号赤坂インターシティＡＩＲ１階、２階店舗４","東京都","港区","赤坂一丁目","８番１号","赤坂インターシティＡＩＲ１階、２階店舗４",,,,,,,,"株式会社ウェルカム",,"4港み生食営第1211号","2022-08-29","2022-08-29","2022-08-29","2029-08-31",,"新規",,
"131032",,"東京都港区","エバーフレッシュカフェ",,,"飲食店営業",,"131032",,"東京都港区赤坂一丁目８番１号赤坂インターシティＡＩＲ１６階","東京都","港区","赤坂一丁目","８番１号","赤坂インターシティＡＩＲ１６階",,,,,,,,"株式会社モノサス",,"4港み生食営第1320号","2022-09-12","2022-09-12","2022-09-12","2029-09-30",,"新規",,
