施設名,カテゴリ,都道府県名,住所,緯度,経度,説明(日本語)
王子第三小学校,避難場所・避難所,東京都,北区上十条5-2-3,35.7654654206,139.71794509,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
王子第五小学校,避難場所・避難所,東京都,北区上十条2-18-17,35.7595056693,139.719244833,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
梅木小学校,避難場所・避難所,東京都,北区西が丘2-21-15,35.7678867898,139.713887827,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
桐ケ丘郷小学校,避難場所・避難所,東京都,北区桐ケ丘1-10-23,35.7768329415,139.707163158,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
赤羽台西小学校,避難場所・避難所,東京都,北区赤羽台2-1-34,35.7751742524,139.713617874,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
西が丘小学校,避難場所・避難所,東京都,北区十条仲原4-5-17,35.7699183746,139.721294622,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
滝野川小学校,避難場所・避難所,東京都,北区西ケ原1-18-10,35.7424994729,139.748073633,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
滝野川第二小学校,避難場所・避難所,東京都,北区滝野川6-19-4,35.7448480068,139.726349646,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
滝野川第三小学校,避難場所・避難所,東京都,北区滝野川1-12-27,35.7484395135,139.736657728,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
西ケ原小学校,避難場所・避難所,東京都,北区西ケ原4-19-21,35.7431938169,139.736911521,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
谷端小学校,避難場所・避難所,東京都,北区滝野川7-12-17,35.7447684157,139.721585354,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
田端小学校,避難場所・避難所,東京都,北区田端5-4-1,35.737211597,139.756870466,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
滝野川もみじ小学校,避難場所・避難所,東京都,北区滝野川3-72-1,35.7509667638,139.728456719,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
十条富士見中学校,避難場所・避難所,東京都,北区十条台1-9-33,35.7575368936,139.723085398,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
稲付中学校,避難場所・避難所,東京都,北区赤羽西6-1-4,35.7704776,139.70802,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
桐ケ丘中学校,避難場所・避難所,東京都,北区桐ケ丘2-6-11,35.780181597,139.708595044,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
滝野川紅葉中学校,避難場所・避難所,東京都,北区滝野川5-55-8,35.7500000927,139.724833963,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
飛鳥中学校,避難場所・避難所,東京都,北区西ケ原3-5-12,35.7441634071,139.742600002,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
旧富士見中学校,避難場所・避難所,東京都,北区上十条3-1-25,35.7594338237,139.71714741,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
北区役所滝野川分庁舎,避難場所・避難所,東京都,北区滝野川2-52-10,35.7512862343,139.733232205,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
旧滝野川第六小学校,避難場所・避難所,東京都,北区滝野川5-44-15,35.748758,139.724242,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
旧田端中学校,避難場所・避難所,東京都,北区田端6-9-1,35.741392,139.755483,避難場所として開設したのち、水害により生活の場を失った方が発生した場合、避難所へ移行する。
,,,,,,
