施設名,カテゴリ,都道府県名,住所,緯度,経度,説明(日本語)
王子小学校,避難所,東京都,北区王子2-7-1,35.75759391,139.7359642,
旧桜田小学校,避難所,東京都,北区王子5-2-8,35.76262492,139.7349092,
王子第二小学校,避難所,東京都,北区王子本町2-2-5,35.75627907,139.7326886,
王子第三小学校,避難所,東京都,北区上十条5-2-3,35.76546542,139.7179451,
王子第五小学校,避難所,東京都,北区上十条2-18-17,35.75950567,139.7192448,
荒川小学校,避難所,東京都,北区中十条3-1-6,35.76339258,139.7256635,
豊川小学校,避難所,東京都,北区豊島3-10-23,35.76095902,139.7427823,
堀船小学校,避難所,東京都,北区堀船2-11-9,35.75383219,139.7464251,
柳田小学校,避難所,東京都,北区豊島2-11-20,35.75764811,139.7439622,
東十条小学校,避難所,東京都,北区東十条3-14-23,35.76604675,139.7290097,
十条台小学校,避難所,東京都,北区中十条1-5-6,35.75866495,139.7305408,
としま若葉小学校,避難所,東京都,北区豊島5-3-30,35.76613076,139.7501785,
赤羽小学校,避難所,東京都,北区赤羽1-24-6,35.78064751,139.7215441,
岩淵小学校,避難所,東京都,北区岩淵町6-6,35.7845573,139.7260074,
なでしこ小学校,避難所,東京都,北区志茂1-34-17,35.777081,139.732015,
第四岩淵小学校,避難所,東京都,北区赤羽3-24-23,35.7860293,139.720659,
梅木小学校,避難所,東京都,北区西が丘2-21-15,35.76788679,139.7138878,
神谷小学校,避難所,東京都,北区神谷2-30-5,35.7721048,139.7292564,
稲田小学校,避難所,東京都,北区赤羽南2-23-24,35.77323245,139.7253616,
桐ケ丘郷小学校,避難所,東京都,北区桐ケ丘1-10-23,35.77683294,139.7071632,
袋小学校,避難所,東京都,北区赤羽北2-15-3,35.78403948,139.7057591,
八幡小学校,避難所,東京都,北区赤羽台3-18-5,35.78089705,139.7142916,
浮間小学校,避難所,東京都,北区浮間3-4-27,35.78584165,139.7005288,
西浮間小学校,避難所,東京都,北区浮間2-7-1,35.79265039,139.6992078,
赤羽台西小学校,避難所,東京都,北区赤羽台2-1-34,35.77517425,139.7136179,
西が丘小学校,避難所,東京都,北区十条仲原4-5-17,35.76991837,139.7212946,
滝野川小学校,避難所,東京都,北区西ケ原1-18-10,35.74249947,139.7480736,
滝野川第二小学校,避難所,東京都,北区滝野川6-19-4,35.74484801,139.7263496,
滝野川第三小学校,避難所,東京都,北区滝野川1-12-27,35.74843951,139.7366577,
滝野川第四小学校,避難所,東京都,北区東田端2-5-23,35.74029503,139.7623205,
滝野川第五小学校,避難所,東京都,北区昭和町3-3-12,35.74956476,139.7496012,
西ケ原小学校,避難所,東京都,北区西ケ原4-19-21,35.74319382,139.7369115,
谷端小学校,避難所,東京都,北区滝野川7-12-17,35.74476842,139.7215854,
田端小学校,避難所,東京都,北区田端5-4-1,35.7372116,139.7568705,
滝野川もみじ小学校,避難所,東京都,北区滝野川3-72-1,35.75096676,139.7284567,
王子桜中学校,避難所,東京都,北区王子2-7-1,35.75865977,139.7351034,
十条富士見中学校,避難所,東京都,北区十条台1-9-33,35.75753689,139.7230854,
明桜中学校,避難所,東京都,北区王子6-3-23,35.75987491,139.7415583,
堀船中学校,避難所,東京都,北区堀船2-23-20,35.75556011,139.7468491,
稲付中学校,避難所,東京都,北区赤羽西6-1-4,35.7704776,139.70802,
赤羽岩淵中学校,避難所,東京都,北区赤羽2-6-18,35.77941133,139.7261074,
桐ケ丘中学校,避難所,東京都,北区桐ケ丘2-6-11,35.7801816,139.708595,
神谷中学校,避難所,東京都,北区神谷2-46-13,35.7736395,139.7294121,
浮間中学校,避難所,東京都,北区浮間4-29-32,35.79035212,139.6930951,
田端中学校,避難所,東京都,北区田端4-17-1,35.738514,139.753902,
滝野川紅葉中学校,避難所,東京都,北区滝野川5-55-8,35.75000009,139.724834,
飛鳥中学校,避難所,東京都,北区西ケ原3-5-12,35.74416341,139.7426,
志茂子ども交流館,避難所,東京都,北区志茂5-18-1,35.78377208,139.7315538,
ココキタ豊島北コミュニティアリーナ,避難所,東京都,北区豊島5-3-13,35.764893,139.75002,
新町コミュニティアリーナ,避難所,東京都,北区田端新町2-27-17,35.740221,139.768061,
北区役所滝野川分庁舎,避難所,東京都,北区滝野川2-52-10,35.75128623,139.7332322,
旧西浮間小学校,避難所,東京都,北区浮間4-29-30,35.7904363,139.691532,
旧滝野川第六小学校,避難所,東京都,北区滝野川5-44-15,35.748758,139.724242,
旧清至中学校,避難所,東京都,北区王子6-7-3,35.76290886,139.7413037,
旧富士見中学校,避難所,東京都,北区上十条3-1-25,35.75943382,139.7171474,
旧田端中学校,避難所,東京都,北区田端6-9-1,35.741392,139.755483,
王子第一小学校（改築中）,避難所,東京都,北区王子5-14-18,35.765175,139.737516,
