"年度","コミュニティ振興 事業数[件]","コミュニティ振興 延参加者数[人]","MINATOシティハーフマラソン 延参加者数[人]","みなと区民まつり 延参加者数[人]","区民まつり (内スポーツ･体育祭 延参加者数)","スポーツ振興 事業数[件]","スポーツ振興 延参加者数[人]","文化振興・生涯学習支援 事業数[件]","文化振興・生涯学習支援 延参加者数[人]","健康増進 事業数[件]","健康増進 延参加者数[人]","合計 事業数[件]","合計 延参加者数[人]"
"2016","10","7732",,"183750","9650","33","11195","92","36765","2","589","138","240031"
"2017","9","9168",,"261490","11920","40","9363","107","41759","2","665","159","322445"
"2018","9","7582","5276","122570","13420","40","10095","105","45234","2","531","158","191288"
"2019","10","8397","5869","11917","11917","38","8536","82","31515","20","629","152","66863"
"2020","11","3786",,,,"40","5529","66","9445","20","685","137","19445"

"令和3年度港区行政資料集　公益財団法人港区スポーツふれあい文化健康財団 事業実施状況","Ver202103",,,,,,,,,,,,
