Ｎｏ,協定の相手方,主な店舗,埼玉県,さいたま市,さいたま市内数,千葉県,千葉市,千葉市内数,東京都,神奈川県,横浜市,横浜市内数,川崎市,川崎市内数,相模原市,相模原市内数,合計,協定締結年月日
1,株式会社サークルＫサンクス,サークルＫ、サンクス,190,,12,133,,28,616,355,,140,,54,,35,1294,平成17年8月31日
2,株式会社スリーエフ,スリーエフ,61,,8,97,,21,167,279,,98,,28,,29,604,平成17年8月31日
3,株式会社セブン－イレブン・ジャパン,セブン－イレブン,972,,170,860,,126,1988,1066,,360,,188,,101,4886,平成17年8月31日
4,山崎製パン株式会社,デイリーヤマザキ、ヤマザキデイリーストア,70,,18,155,,38,156,94,,50,,13,,4,475,平成17年8月31日
5,株式会社ファミリーマート,ファミリーマート,486,,103,420,,74,1712,667,,295,,116,,48,3285,平成17年8月31日
6,ミニストップ株式会社,ミニストップ,165,,29,197,,38,300,142,,38,,22,,12,804,平成17年8月31日
7,株式会社ローソン,ローソン,397,,58,376,,57,1155,611,,278,,106,,34,2539,平成17年8月31日
8,株式会社吉野家,吉野家,83,,18,55,,12,198,86,,30,,15,,7,422,平成17年8月31日
9,国分グローサーズチェーン株式会社,コミュニティストア,9,,1,5,,1,56,26,,8,,4,,1,96,平成17年9月22日
10,株式会社ココストア,ココストア,13,,5,8,,2,7,6,,1,,0,,1,34,平成17年9月22日
11,株式会社ポプラ,ポプラ、生活彩家、スリーエイト,12,,1,14,,3,115,38,,20,,8,,2,179,平成17年9月22日
12,山田食品産業株式会社,山田うどん,95,,10,12,,3,20,13,,0,,0,,5,140,平成17年9月22日
13,株式会社セブン＆アイフードシステムズ,デニーズ,27,,6,47,,7,114,70,,22,,8,,4,258,平成19年2月8日
14,ロイヤルマネジメント株式会社,ロイヤルホスト、カウボーイ家族、シェーキーズ,17,,5,13,,4,74,29,,14,,2,,2,133,平成19年2月8日
15,株式会社モスフードサービス,モスバーガー,75,,16,51,,8,187,91,,36,,16,,9,404,平成20年6月11日
16,株式会社九九プラス,ＬＡＷＳＯＮＳＴＯＲＥ１００,65,,17,62,,12,415,192,,73,,54,,21,734,平成21年8月27日
17,株式会社壱番屋,カレーハウスＣｏＣｏ壱番屋,60,,11,50,,9,173,56,,21,,10,,6,339,平成22年8月20日
18,ワタミ株式会社,和民、座和民、わたみん家,33,,7,36,,9,246,71,,26,,14,,6,386,平成23年6月20日
19,チムニー株式会社,はなの舞、さかなや道場,24,,6,31,,10,80,30,,14,,5,,1,165,平成23年6月20日
20,株式会社第一興商,ビッグエコー,25,,5,8,,3,97,25,,12,,5,,1,155,平成23年9月1日
21,株式会社ビーアンドブィ,カラオケ館,7,,2,4,,1,82,5,,2,,1,,1,98,平成23年9月1日
22,株式会社サガミチェーン,盛賀美,4,,0,0,,0,5,4,,0,,1,,0,13,平成24年8月31日
23,味の民芸フードサービス株式会社,味の民芸,2,,1,9,,1,23,12,,4,,2,,2,46,平成24年8月31日
24,埼玉県カラオケ業防犯協力会,,121,17,,105,15,,299,116,39,,18,,11,,641,平成24年9月19日
25,千葉県カラオケ事業者防犯協会,,※,※,,※,※,,,※,※,,※,,※,,※,平成24年9月19日
26,東京カラオケボックス事業者防犯協力会,,※,※,,※,※,,,※,※,,※,,※,,※,平成24年9月19日
27,神奈川県カラオケボックス協会,,※,※,,※,※,,,※,※,,※,,※,,※,平成24年9月19日
28,サトレストランシステムズ株式会社,和食さと,6,,1,4,,0,18,6,,2,,1,,1,34,平成24年12月1日
29,株式会社ダスキン,ミスタードーナツ,36,,9,26,,6,76,50,,23,,7,,5,188,平成25年3月11日
30,タリーズコーヒージャパン株式会社,タリーズコーヒー,12,,2,3,,1,92,32,,15,,5,,2,139,平成25年3月11日
31,株式会社ストロベリーコーンズ,ナポリの窯,2,,1,1,,1,23,10,,1,,4,,0,36,平成25年10月8日
小計１,,,3069,539,,2782,490,,8494,4182,1622,,707,,351,,18527,
,ガソリンスタンド,,896,,130,945,,105,1021,803,,279,,100,,71,3665,
,都立学校（東京都のみ）,,,,,,,,237,,,,,,,,237,
,日産自動車系販売店（神奈川県のみ）,,,,,,,,,167,,61,,17,,14,167,
小計２,,,896,130,,945,105,,1258,970,340,,117,,85,,4069,
合計,,,3965,669,,3727,595,,9752,5152,1962,,824,,436,,22596,
