番号,施設名称,所在地
1,九段中等教育学校,千代田区九段北２－２－１
2,中央区立総合スポーツセンター,中央区日本橋浜町２－５９－１
3,港区スポーツセンター,港区芝浦３－１－１９
4,新宿区立新宿コズミックスポーツセンター,新宿区大久保３－１－２
5,文京スポーツセンター,文京区大塚３－２９－２
6,文京総合体育館,文京区湯島７－１－２
7,文京シビックセンター,文京区春日１－１６－２１
8,台東区本庁舎,台東区東上野４－５－６
9,墨田区本庁舎,墨田区吾妻橋１－２３－２０
10,江東区本庁舎,江東区東陽４－１１－２８
11,総合区民センター,江東区大島４－５－１
12,品川区防災センター,品川区広町２－１－３６
13,目黒区本庁舎,目黒区上目黒２－１９－１５
14,大田区体育館,大田区東蒲田１－１１－１
15,大森スポーツセンター,大田区大森本町２－２－５
16,大田区産業プラザ（Ｐｉｏ）,大田区南蒲田１－２０－２０
17,世田谷区立大蔵第二運動場,世田谷区大蔵４－６－１
18,渋谷区本庁舎,渋谷区宇田川町１－１
19,中野区本庁舎,中野区中野４－８－１
20,都立稔ヶ丘高等学校,中野区上鷺宮５－１１－１
21,都立富士高等学校,中野区弥生町５－２１－１
22,杉並区立永福体育館,杉並区永福３－５１－１７
23,杉並区立上井草スポーツセンター,杉並区上井草３－３４－１
24,杉並区立高円寺体育館,杉並区高円寺南２－３６－３１
25,にしすがも創造舎（旧朝日中）,豊島区西巣鴨４－９－１
26,豊島区立千登世橋中学校,豊島区目白１－１－１
27,北区本庁舎,北区王子１－１５－２２
28,北区防災センター,北区西ヶ原２－１－６
29,サンパール荒川,荒川区荒川１－１－１
30,板橋区立小豆沢体育館,板橋区小豆沢３－１－１
31,練馬区立総合体育館,練馬区谷原１－７－５
32,足立区立保木間公園,足立区竹の塚３－８－１
33,都立東綾瀬公園,足立区東綾瀬３－４
34,都立舎人公園,足立区舎人公園１－１
35,テクノプラザかつしか,葛飾区青戸７－２－１
36,葛飾区立総合スポーツセンターエイトホール,葛飾区高砂１－２－１
37,江戸川区総合文化センター,江戸川区中央４－１４－１
38,葛西防災施設,江戸川区西葛西８－１７－１
39,八王子市甲の原体育館,八王子市中野町２７２６－８
40,片倉つどいの森公園,八王子市片倉町３５０６番地
41,あったかホール,八王子市北野町５９６－３
42,南大沢文化会館,八王子市南大沢２－２７
43,東京工科大学八王子キャンパス,八王子市片倉町１４０４－１
44,立川市本庁舎,立川市泉町１１５６－９
45,柴崎市民体育館,立川市柴崎町６－１５－９
46,泉市民体育館,立川市泉町７８６－１１
47,武蔵野市立武蔵野総合体育館,武蔵野市吉祥寺北町５－１１－２０
48,三鷹市立第一中学校,三鷹市下連雀９－１０－１
49,青梅市本庁舎,青梅市東青梅１－１１－１
50,青梅市民球技場,青梅市河辺町１－８７２－１
51,青梅市立第六小学校,青梅市二俣尾３－９０３－１
52,明星大学グラウンド,青梅市長渕２－５９０
53,府中市役所北庁舎屋内駐車場,府中市宮西町２－２４
54,府中市水防・防災ステーション,府中市小柳町６－１
55,昭島市本庁舎,昭島市田中町１－１７－１
56,昭島市総合スポーツセンター,昭島市東町５－１３－１
57,大町備蓄倉庫（大町スポーツセンター）,調布市菊野台３－２７－４０
58,町田市役所,町田市中町１－２０－２３
59,小金井市役所第２駐車場,小金井市前原町３－４１－１５
60,小金井市総合体育館,小金井市関野町１－１３－１
61,小平市民総合体育館,小平市津田町１－１－１
62,日野市本庁舎,日野市神明１－１２－１
63,市民の森ふれあいホール,日野市本町６－１－３
64,東村山市役所本庁舎,東村山市本町１－２－３
65,東村山市民スポーツセンター,東村山市久米川町３－３０－５
66,国分寺市本庁舎,国分寺市戸倉１－６－１
67,ひかりスポーツセンター,国分寺市光町１－４６－８
68,国分寺市民スポーツセンター,小平市上水本町６－２２－１
69,くにたち市民総合体育館,国立市富士見台２－４８
70,福生市民会館,福生市福生２４５５
71,さくら会館,福生市牛浜１６３
72,狛江市役所,狛江市和泉本町１－１－５
73,狛江市民総合体育館,狛江市和泉本町３－２５－１
74,東大和市本庁舎,東大和市中央３－９３０
75,清瀬市本庁舎,清瀬市中里５－８４２
76,東久留米市本庁舎,東久留米市本町３－３－１
77,東久留米市立久留米中学校,東久留米市幸町５－９－１１
78,東久留米市立大門中学校,東久留米市大門町２－１３－８
79,武蔵村山市本庁舎,武蔵村山市本町１－１－１
80,多摩市立武道館・陸上競技場,多摩市諏訪４－９
81,稲城市役所西側車庫棟,稲城市東長沼２１１１
82,羽村市スポーツセンター,羽村市羽加美１－２９－５
83,あきる野市本庁舎,あきる野市二宮３５０
84,西東京市役所田無庁舎,西東京市南町５－６－１３
85,西東京市役所保谷庁舎,西東京市中町１－５－１
86,瑞穂スカイホール,瑞穂町箱根ケ崎２４７５
87,元狭山広域防災広場,瑞穂町二本木４８７－１
88,日の出町本庁舎,日の出町大字平井２７８０
89,桧原村本庁舎,桧原村４６７－１
90,奥多摩町本庁舎,奥多磨町氷川２１５－６
91,奥多摩町福祉会館,奥多摩町氷川１９９
