車両,台数
機動救助車（人員）,10
機動救助車（資材）,10
災害用資材車,112
多目的災害用車,10
災害用広報車,10
水難救助車,3
山岳救助車,3
クレーン付資材車,20
災害用ショベル車,20
災害用フォークリフト車,12
災害用投光車,2
給水車,4
衛星通信車,1
