管内別,管内水防管理団（区市町村）,水防倉庫所管区分,水防倉庫数（棟）,土のう（袋）,大型土のう（袋）,水のう（袋）,土のう留杭（本）,軽量鋼板（枚）,篭（本）,木材（ｍ３）,シ－ト（ｍ２）,鉄線（ｋｇ）,杭（本）,縄（ｍ）,玉石（ｍ３）,ショベル（丁）,ツルハシ（丁）,掛矢（丁）,鋸（丁）,鉈（丁）,番線カッター（丁）,もっこ（丁）,一輪車（台）
第一建設事務所,千代田区、中央区、港区,建設局,1,10790,50,489,1550,110,0,0,3624,25,34,17500,0,196,15,2,7,2,4,10,2
第一建設事務所,千代田区、中央区、港区,港湾局,5,8150,0,0,0,0,0,0,1240,340,0,11700,0,40,19,3,6,6,14,0,7
第一建設事務所,千代田区、中央区、港区,警視庁,1,800,0,0,250,0,0,0,1700,50,0,850,0,350,10,14,24,6,21,0,7
第一建設事務所,千代田区、中央区、港区,東京消防庁,1,3009,46,3052,2465,3,0,5,982,235,20,400,0,935,143,86,30,22,7,12,17
第一建設事務所,千代田区、中央区、港区,水防管理団体,9,8750,0,149,1015,88,0,0,2116,522,0,16700,0,1013,243,206,107,82,23,135,48
第一建設事務所,千代田区、中央区、港区,計,17,31499,96,3690,5280,201,0,5,9662,1172,54,47150,0,2534,430,311,174,118,69,157,81
第二建設事務所,大田区、目黒区、世田谷区、渋谷区,建設局,7,54900,0,300,13533,780,0,6.7,4880,1350,1195,20200,0,645,168,84,51,138,76,0,12
第二建設事務所,大田区、目黒区、世田谷区、渋谷区,港湾局,1,4000,0,0,0,0,0,0,380,30,0,3400,0,10,5,1,1,0,4,0,1
第二建設事務所,大田区、目黒区、世田谷区、渋谷区,警視庁,2,800,0,0,300,0,0,0,3000,100,0,2000,0,90,66,30,28,19,20,0,17
第二建設事務所,大田区、目黒区、世田谷区、渋谷区,東京消防庁,2,8974,66,3691,3339,180,23,29,2701,376,235,4362,0,2144,285,217,93,34,16,43,85
第二建設事務所,大田区、目黒区、世田谷区、渋谷区,水防管理団体,18,23540,40,480,3159,62,159,51.1,4887,1031,111,33960,0,1600,328,120,113,64,77,136,106
第二建設事務所,大田区、目黒区、世田谷区、渋谷区,計,30,92214,106,4471,20331,1022,182,86.8,15848,2887,1541,63922,0,4489,852,452,286,255,193,179,221
第三建設事務所,新宿区、中野区、渋谷区,建設局,2,22000,200,1100,6080,160,0,0,10950,600,720,13100,0,290,156,30,30,17,6,10,9
第三建設事務所,新宿区、中野区、渋谷区,港湾局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第三建設事務所,新宿区、中野区、渋谷区,警視庁,3,1400,3,0,250,0,0,0,3900,125,0,1300,0,386,84,45,68,28,44,0,20
第三建設事務所,新宿区、中野区、渋谷区,東京消防庁,1,4470,9,1945,1540,70,0,5,1814,201,251,3482,200,852,101,101,26,13,10,19,30
第三建設事務所,新宿区、中野区、渋谷区,水防管理団体,22,33880,0,0,750,50,0,0.8,5150,675,279,12650,0,413,121,54,11,5,12,156,46
第三建設事務所,新宿区、中野区、渋谷区,計,28,61750,209,3045,8620,280,0,5.8,21814,1601,1250,30532,200,1941,462,230,135,63,72,185,105
第四建設事務所,板橋区、練馬区、豊島区,建設局,4,20800,500,0,7805,283,45,1.6,3095,715,217,24235,0,240,64,59,37,28,47,18,16
第四建設事務所,板橋区、練馬区、豊島区,港湾局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第四建設事務所,板橋区、練馬区、豊島区,警視庁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第四建設事務所,板橋区、練馬区、豊島区,東京消防庁,2,9298,37,3685,1910,153,8,10,1989,197,454,1490,0,1640,172,139,28,19,18,5,69
第四建設事務所,板橋区、練馬区、豊島区,水防管理団体,7,9120,0,0,300,100,0,0.8,834,200,111,2600,0,637,195,72,54,27,34,0,34
第四建設事務所,板橋区、練馬区、豊島区,計,13,39218,537,3685,10015,536,53,12.4,5918,1112,782,28325,0,2517,431,270,119,74,99,23,119
第五建設事務所,墨田区、江東区、葛飾区、江戸川区,建設局,9,115900,450,401,16105,660,3,21.1,11784,1360,750,73560,0,1216,271,205,42,70,103,65,53
第五建設事務所,墨田区、江東区、葛飾区、江戸川区,港湾局,6,26200,0,0,0,0,0,2.9,1241,145,45,10000,0,87,46,15,9,4,12,9,8
第五建設事務所,墨田区、江東区、葛飾区、江戸川区,警視庁,2,1050,0,0,250,0,0,0,1800,125,0,1250,0,132,21,34,49,9,9,0,16
第五建設事務所,墨田区、江東区、葛飾区、江戸川区,東京消防庁,1,3293,50,2881,427,119,0,0,1143,125,176,940,0,1162,87,95,29,4,24,8,95
第五建設事務所,墨田区、江東区、葛飾区、江戸川区,水防管理団体,23,95000,0,350,9356,185,5,25.3,27844,1660,121,12360,0,3403,740,423,64,76,87,42,130
第五建設事務所,墨田区、江東区、葛飾区、江戸川区,計,41,241443,500,3632,26138,964,8,49.3,43812,3415,1092,98110,0,6000,1165,772,193,163,235,124,302
第六建設事務所,文京区、台東区、荒川区、北区、足立区,建設局,8,80760,340,2230,12700,700,0,6,5540,818,1279,70356,0,538,332,120,50,47,40,105,17
第六建設事務所,文京区、台東区、荒川区、北区、足立区,港湾局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第六建設事務所,文京区、台東区、荒川区、北区、足立区,警視庁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第六建設事務所,文京区、台東区、荒川区、北区、足立区,東京消防庁,1,2582,50,2542,1547,51,0,0,610,71,160,70,0,902,95,85,25,20,8,8,49
第六建設事務所,文京区、台東区、荒川区、北区、足立区,水防管理団体,16,48620,0,100,4977,360,0,4,3089,820,616,11200,0,2112,335,223,120,97,78,202,103
第六建設事務所,文京区、台東区、荒川区、北区、足立区,計,25,131962,390,4872,19224,1111,0,10,9239,1709,2055,81626,0,3552,762,428,195,164,126,315,169
西多摩建設事務所,青梅市、福生市、羽村市、瑞穂町、あきる野市、日の出町、桧原村、奥多摩町,建設局,10,102050,1000,0,9970,1220,234,12,13981,2105,2423,19510,0,670,449,170,43,100,61,65,36
西多摩建設事務所,青梅市、福生市、羽村市、瑞穂町、あきる野市、日の出町、桧原村、奥多摩町,港湾局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西多摩建設事務所,青梅市、福生市、羽村市、瑞穂町、あきる野市、日の出町、桧原村、奥多摩町,警視庁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西多摩建設事務所,青梅市、福生市、羽村市、瑞穂町、あきる野市、日の出町、桧原村、奥多摩町,東京消防庁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西多摩建設事務所,青梅市、福生市、羽村市、瑞穂町、あきる野市、日の出町、桧原村、奥多摩町,水防管理団体,24,44020,0,660,5785,64,0,0,69084,5180,52,16660,0,410,371,113,65,42,40,0,37
西多摩建設事務所,青梅市、福生市、羽村市、瑞穂町、あきる野市、日の出町、桧原村、奥多摩町,計,34,146070,1000,660,15755,1284,234,12,83065,7285,2475,36170,0,1080,820,283,108,142,101,65,73
南多摩東部建設事務所,町田市、多摩市、稲城市,建設局,4,43930,400,500,580,426,175,0,9277,370,830,17350,50,261,105,65,16,22,14,0,18
南多摩東部建設事務所,町田市、多摩市、稲城市,港湾局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南多摩東部建設事務所,町田市、多摩市、稲城市,警視庁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南多摩東部建設事務所,町田市、多摩市、稲城市,東京消防庁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南多摩東部建設事務所,町田市、多摩市、稲城市,水防管理団体,24,57740,120,1200,14306,1882,20,0,377754,3931,837,4810,0,1070,299,219,109,30,75,0,42
南多摩東部建設事務所,町田市、多摩市、稲城市,計,28,101670,520,1700,14886,2308,195,0,387031,4301,1667,22160,50,1331,404,284,125,52,89,0,60
南多摩西部建設事務所,八王子市、日野市,建設局,4,50655,400,0,9656,748,408,0,3107,1082,1055,7780,0,746,167,51,53,61,14,0,42
南多摩西部建設事務所,八王子市、日野市,港湾局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南多摩西部建設事務所,八王子市、日野市,警視庁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南多摩西部建設事務所,八王子市、日野市,東京消防庁,1,3687,55,3280,1217,375,10,29,1540,131,354,2390,0,901,71,80,137,131,16,4,46
南多摩西部建設事務所,八王子市、日野市,水防管理団体,14,13100,10,250,1906,142,0,0,118296,530,340,4800,0,1763,45,60,29,28,29,0,16
南多摩西部建設事務所,八王子市、日野市,計,19,67442,465,3530,12779,1265,418,29,122943,1743,1749,14970,0,3410,283,191,219,220,59,4,104
北多摩南部建設事務所,武蔵野市、三鷹市、府中市、小金井市、西東京市、狛江市、府中市,建設局,5,53300,350,100,5620,635,599,0,6367,1975,926,5450,400,375,150,101,47,57,60,10,18
北多摩南部建設事務所,武蔵野市、三鷹市、府中市、小金井市、西東京市、狛江市、府中市,港湾局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北多摩南部建設事務所,武蔵野市、三鷹市、府中市、小金井市、西東京市、狛江市、府中市,警視庁,1,1500,0,0,500,60,0,0,1600,5,0,500,0,60,12,20,30,8,20,0,7
北多摩南部建設事務所,武蔵野市、三鷹市、府中市、小金井市、西東京市、狛江市、府中市,東京消防庁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北多摩南部建設事務所,武蔵野市、三鷹市、府中市、小金井市、西東京市、狛江市、府中市,水防管理団体,25,37270,0,50,6020,0,0,0,42058,250,200,15900,0,1323,374,244,58,8,18,10,155
北多摩南部建設事務所,武蔵野市、三鷹市、府中市、小金井市、西東京市、狛江市、府中市,計,31,92070,350,150,12140,695,599,0,50025,2230,1126,21850,400,1758,536,365,135,73,98,20,180
北多摩北部建設事務所,立川市、小平市、国立市、昭島市、国分寺市、東村山市、東大和市、武蔵村山市、清瀬市,建設局,5,47000,850,0,5676,524,100,1.55,5904,535,1200,9450,0,300,200,76,26,32,42,0,18
北多摩北部建設事務所,立川市、小平市、国立市、昭島市、国分寺市、東村山市、東大和市、武蔵村山市、清瀬市,港湾局,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北多摩北部建設事務所,立川市、小平市、国立市、昭島市、国分寺市、東村山市、東大和市、武蔵村山市、清瀬市,警視庁,1,500,0,0,200,0,0,2,4844,50,0,9950,0,25,8,3,15,15,14,0,1
北多摩北部建設事務所,立川市、小平市、国立市、昭島市、国分寺市、東村山市、東大和市、武蔵村山市、清瀬市,東京消防庁,1,10010,88,3685,4198,355,15,1,2999,848,668,4250,0,1482,114,115,34,12,24,1,69
北多摩北部建設事務所,立川市、小平市、国立市、昭島市、国分寺市、東村山市、東大和市、武蔵村山市、清瀬市,水防管理団体,143,40814,0,0,4924,0,0,0,281542,334,40,30905,0,1420,511,484,526,99,411,0,96
北多摩北部建設事務所,立川市、小平市、国立市、昭島市、国分寺市、東村山市、東大和市、武蔵村山市、清瀬市,計,150,153290,938,3685,14998,879,115,4.55,295289,1767,1908,54555,0,3227,833,678,601,158,491,1,184
大島支庁,大島町、利島、新島村、神津島,建設局,3,7200,0,0,0,0,0,0,580,20,0,600,0,39,4,3,10,4,3,0,3
大島支庁,大島町、利島、新島村、神津島,水防管理団体,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大島支庁,大島町、利島、新島村、神津島,計,3,7200,0,0,0,0,0,0,580,20,0,600,0,39,4,3,10,4,3,0,3
