区分,幅員（ｍ）,面積（ｍ２）,水深（Ａ．Ｐ．）（ｍ）
第１航路,４５０～６００,,－１５～－１６
第２航路,300,,－１０～－１２
第３航路,３００～５５０,,-12
芝浦はしけだまり,,77000,-4.0
西芝浦はしけだまり,,7252,-3.0
１３号地その２（はしけだまり）,,62000,-4.0
７号地船だまり,,10700,-3.0
城南島小型油槽船だまり,,18650,-4.0
