団体名,区市町村防災行政無線固定局屋外（局）,区市町村防災行政無線固定局戸別（局）,区市町村防災行政無線移動局（局）,地域防災無線移動局（局）
千代田,69,81,-,291
中央,87,86,-,268
港,121,221,203,-
新宿,102,415,68,186
文京,91,432,128,60
台東,76,-,48,101
墨田,65,167,34,197
江東,143,1,257,-
品川,133,280,-,199
目黒,59,148,264,-
大田,244,540,-,404
世田谷,189,308,35,381
渋谷,86,144,176,-
中野,113,501,201,-
杉並,119,721,-,225
豊島,76,650,280,-
北,107,537,399,-
荒川,104,163,35,262
板橋,105,80,187,-
練馬,191,939,-,215
足立,185,393,-,350
葛飾,131,240,-,181
江戸川,290,357,325,-
区計,2886,7404,2640,3320
