区分１,区分２,配備数（平成２６年４月現況）
ヘリコプター（機）,,14
警備艇（隻）,,23
車両,指揮用車（台）,315
車両,警ら用無線自動車（台）,1401
車両,交通取締用自動二輪車（台）,951
車両,警備用自動二輪車（台）,153
車両,機動救助車（台）,10
車両,機動救助資材車（台）,10
車両,輸送車（台）,472
車両,クレーン・レッカー（台）,38
車両,ショベル車（台）,21
車両,災害用資材車（台）,112
車両,災害用広報車（台）,10
車両,多目的災害用車（台）,10
車両,水難救助車（台）,3
車両,山岳救助車（台）,3
車両,災害用投光車（台）,2
車両,衛星通信車（台）,1
車両,給水車（台）,4
資材,救命ボート,420
資材,船外機,210
資材,救命索発射器,68
資材,救命胴衣,2157
資材,スコップ・ハンマー,3451
資材,ジャッキ,1406
資材,レスキューバール,1212
資材,自動膨張式救命浮環,2157
資材,チェンソー,286
資材,エンジンカッター,383
資材,担架,33
資材,渡河橋,1
資材,テント,565
資材,土のう袋,98000
資材,水マット,10
