区市町村,固定局屋外,固定局戸別,固定局計,移動局小・中学校,移動局警察署,移動局消防署,移動局医療機関,移動局その他,移動局計
瑞穂町,49,43,94,-,-,1,-,49,68
日の出町,1,1,1036,5,1,1,-,11,33
檜原村,34,1000,1034,-,-,-,-,15,15
奥多摩町,5,2758,6654,-,-,-,-,39,161
多摩町村計,89,3802,8818,5,1,2,0,114,277
大島町,78,-,290,-,-,-,-,-,15
利島村,4,208,212,-,-,-,-,15,15
新島村,19,-,892,-,-,-,-,-,8
神津島村,17,856,2217,-,-,1,1,6,56
三宅村,44,1300,1344,6,1,1,1,39,48
御蔵島村,-,-,4540,-,-,-,-,-,10
八丈町,40,4500,4659,-,-,-,-,10,20
青ヶ島村,9,110,301,-,-,-,-,10,10
小笠原村,20,162,7549,-,-,-,-,-,91
島しょ町村計,231,7136,22004,6,1,2,2,80,273
