区分１,区分２,詳細１,詳細２
無線局の目的,,上・下水道事業共用,
電波の形式,,Ｇ１Ｄ及びＧ２Ｄ,
周波数帯,,２６０ＭＨｚ帯１２ｃｈ,
空中線電力,基地局（Ｗ）,20,
空中線電力,移動局（Ｗ）,2,
空中線電力,固定局（Ｗ）,2,
運用時間,,常時,
回線制御方式,,ＭＣＡ（ＭｕｌｔｉＣｈａｎｎｅｌＡｃｃｅｓｓ）方式,
通信区域,,２３区全域及び多摩地域（山間部等を除く。）,
無線局種別,基地局（局）,9,水道局と設備共用
無線局種別,通信所（か所）,12,
無線局種別,統制局（か所）,1,
無線局種別,陸上移動局（局）,291,携帯型
無線局種別,固定局（局）,105,固定型
