流域名／種類,国有林民有林の別,水源かん養保安林（ｈａ）,土砂流出防備保安林（ｈａ）,土砂流出防備保安林（兼種保安林外数）（ｈａ）,土砂崩壊防備保安林（ｈａ）,土砂崩壊防備保安林（兼種保安林外数）（ｈａ）,飛砂防備保安林（ｈａ）,防風保安林（ｈａ）,水害防備保安林（ｈａ）,潮害防備保安林（ｈａ）,潮害防備保安林（兼種保安林外数）（ｈａ）,干害防備保安林（ｈａ）,防雪保安林（ｈａ）,防霧保安林（ｈａ）,なだれ防止保安林（ｈａ）,落石防止保安林（ｈａ）,防火保安林（ｈａ）,防火保安林（兼種保安林外数）（ｈａ）,魚つき保安林（ｈａ）,航行目標保安林（ｈａ）,保健保安林（ｈａ）,保健保安林（兼種保安林外数）（ｈａ）,風致保安林（ｈａ）,風致保安林（兼種保安林外数）（ｈａ）,合計（ｈａ）,合計（兼種保安林外数）（ｈａ）
多摩川,国有林,485,296,,,,,,,,,,,,,,,,,,154,555,-,122,935,677
多摩川,民有林,11825,1136,60,35,1,,1,,,,7,,,,25,,10,,,338,1522,71,23,13438,1616
荒川,国有林,,,,,,,,,,,,,,,,,,,,,,,,,
荒川,民有林,62,74,,,,,,,,,,,,,,,,,,,,,,136,
島しょ,国有林,,136,,13,,,,,63,,391,,,,,,,,,1080,584,,,1683,584
島しょ,民有林,,1429,,48,,18,84,,13,3,75,,,,31,3,,21,,,,,,1722,3
計,国有林,485,432,,13,,,,,63,,391,,,,,,,,,1234,1139,-,122,2618,1261
計,民有林,11887,2639,60,83,1,18,85,,13,3,82,,,,56,3,10,21,,338,1522,71,23,15296,1619
合計,,12372,3071,60,96,1,18,85,,76,3,473,,,,56,3,10,21,,1572,2661,71,145,17914,2880
