機関名１,機関名２,路線延長（ｍ）,内訳（ｍ）掘割区間,内訳（ｍ）地下区間,内訳（ｍ）高架区間,内訳（ｍ）盛土区間,内訳（ｍ）切土区間,内訳（ｍ）平地区間,内訳（ｍ）橋梁区間
都交通局,都電,12212,-,-,-,-,-,12176,36
都交通局,地下鉄,109000,-,101573,5438,50,10,-,1929
都交通局,日暮里・舎人ライナー,9700,-,-,9700,-,-,-,-
都交通局,小計,130912,-,101573,15138,50,10,12176,1965
ＪＲ東日本,,279343,-,41768,81121,79669,76785,-,698
ＪＲ東海,,15615,275,-,6891,3940,2542,-,2003
東武鉄道,,31201,124,496,7710,3855,2295,16043,678
東急電鉄,,62826,（ずい道）４４６７,10650,7937,7147,12307,17602,2689
京成電鉄,,24423,318,1690,6788,5160,-,7320,3147
京王電鉄,,82978,（ずい道）３３６１,6019,14445,5400,11100,40537,2116
京浜急行,,18935,（ずい道）５１０,828,5509,236,-,5935,1770
西武鉄道,,98932,-,2186,8786,5854,-,80656,1460
小田急電鉄,,26552,1593,1238,6195,5146,6836,4642,902
東京地下鉄,,187184,-,158057,17360,6713,,-,5054
東京モノレール,,17959,528,4210,11311,-,-,-,1910
ゆりかもめ,,14790,,,14790,,,,
北総鉄道,,2000,40,,1303,,,326,331
東京臨海高速鉄道,,12246,-,8705,2031,-,395,577,538
多摩モノレール,,16180,（ずい道含）５１５,,15665,,,,
首都圏新都市鉄道,,58260,-,16312,25523,1888,4353,-,10184
