島名,港名,種類,施設名,規模（ｍ）
大島,元町,1,防波堤,508
大島,元町,1,岸壁,187
大島,岡田,1,防波堤,305
大島,岡田,1,岸壁,284
大島,野増,1,防波堤,349
大島,野増,1,岸壁,140
大島,差木地,1,防波堤,255
大島,差木地,1,岸壁,111
大島,泉津,1,防波堤,149
大島,泉津,1,岸壁,90
新島,若郷,1,防波堤,836
新島,若郷,1,岸壁,465
新島,羽伏,1,防波堤,357
新島,羽伏,1,岸壁,376
式根島,野伏,1,防波堤,203
式根島,野伏,1,岸壁,575
式根島,小浜,1,防波堤,111
式根島,小浜,1,岸壁・物揚場,203
神津島,三浦,4,防波堤,673
神津島,三浦,4,岸壁,729
三宅島,湯の浜,1,防波堤,252
三宅島,湯の浜,1,岸壁,210
三宅島,伊ヶ谷,1,防波堤,240
三宅島,伊ヶ谷,1,岸壁・物揚場,298
三宅島,大久保,1,防波堤,357
三宅島,大久保,1,物揚場,101
三宅島,坪田,1,防波堤,638
三宅島,坪田,1,岸壁・物揚場,435
三宅島,阿古,4,防波堤,202
三宅島,阿古,4,岸壁,1060
八丈島,洞輪沢,1,防波堤,544
八丈島,洞輪沢,1,岸壁,229
八丈島,中之郷,1,防波堤,251
八丈島,中之郷,1,岸壁,105
八丈島,神湊,4,防波堤,538
八丈島,神湊,4,岸壁,921
八丈島,八重根,4,防波堤,630
八丈島,八重根,4,岸壁,752
