種別,全都移動島しょ系（１５０Ｍｈｚ）伊豆諸島,全都移動島しょ系（１５０Ｍｈｚ）小笠原,全都移動島しょ系（１５０Ｍｈｚ）都内,全都移動島しょ系（１５０Ｍｈｚ）小計,全都移動都内系（２６０Ｍｈｚ）都内,全都移動都内系（２６０Ｍｈｚ）小計,携帯局,可搬ＭＣＡ
基地局,7,2,-,9,8,8,9,14
車載,35,12,-,47,62,62,-,-
可搬,37,10,11,58,50,50,-,66
携帯,31,10,5,46,210,210,7,-
小計,103,32,16,151,322,322,7,66
計,110,34,16,160,330,330,16,80
