機材名,現有量
救命ボート,420
船外機,210
救命索発射器,68
救命胴衣,2157
スコップ・ハンマー,3451
ジャッキ,1406
レスキューバール,1212
自動膨張式救命浮環,2157
チェンソー,286
エンジンカッター,383
担架,33
渡河橋,1
テント,565
土嚢袋,98000
水マット,10
