係留施設１,係留施設２,係留施設３,大型船水深計,大型船水深９．０ｍ以上,大型船水深７．５ｍ以上９．０ｍ未満,大型船水深４．５ｍ以上７．５ｍ未満,小型船水深４．５ｍ未満,合計
係船岸,公共,延長（ｍ）,15189,6316,4859,4014,3172,18361
係船岸,公共,バース数,111,28,32,51,,111
係船岸,専用,延長（ｍ）,6299,4324,1315,660,247,6546
係船岸,専用,バース数,37,17,12,8,,41
係船岸,計,延長（ｍ）,21488,10640,6174,4674,,
係船岸,計,バース数,148,45,44,59,,152
係船浮標,公共,,3,,3,,,3
係船浮標,専用,,,,,,,
係船浮標,計,,3,,3,,,3
