種別１,種別２,呼出名称,局数,周波数帯（ＭＨｚ）,電波の形式,空中線電力（Ｗ）,設置場所
基地局,,ぼうさいいちけん,1,150,Ｆ３Ｅ,10,第一建設事務所
基地局,移動局,いちけん１～２,2,150,Ｆ３Ｅ,25,第一建設事務所
基地局,移動局,いちけん１０～１１、１４～１６,5,150,Ｆ３Ｅ,10,第一建設事務所
基地局,移動局,いちけん１００～１０３,4,150,Ｆ３Ｅ,1,第一建設事務所
基地局,,ぼうさいにけん,1,150,Ｆ３Ｅ,10,第二建設事務所
基地局,移動局,にけん１～５,5,150,Ｆ３Ｅ,25,第二建設事務所
基地局,移動局,にけん１１～１８,8,150,Ｆ３Ｅ,10,第二建設事務所
基地局,移動局,にけん１００～１０３,4,150,Ｆ３Ｅ,1,第二建設事務所
基地局,,防災羽田空港トンネル,1,150,Ｆ３Ｅ,10,第二建設事務所
基地局,,ぼうさいさんけん,1,150,Ｆ３Ｅ,10,第三建設事務所
基地局,移動局,さんけん１～３,3,150,Ｆ３Ｅ,25,第三建設事務所
基地局,移動局,さんけん１０～１６,7,150,Ｆ３Ｅ,10,第三建設事務所
基地局,移動局,さんけん１００～１０３,4,150,Ｆ３Ｅ,1,第三建設事務所
基地局,,防災井荻トンネル,1,150,Ｆ３Ｅ,10,第三建設事務所
基地局,,ぼうさいよんけん,1,150,Ｆ３Ｅ,10,第四建設事務所
基地局,移動局,よんけん１～３,3,150,Ｆ３Ｅ,25,第四建設事務所
基地局,移動局,よんけん１０～１７,8,150,Ｆ３Ｅ,10,第四建設事務所
基地局,移動局,よんけん１００～１０３,4,150,Ｆ３Ｅ,1,第四建設事務所
基地局,,ぼうさいごけん,1,150,Ｆ３Ｅ,10,第五建設事務所
基地局,移動局,ごけん１～３,3,150,Ｆ３Ｅ,25,第五建設事務所
基地局,移動局,ごけん１０～１７,8,150,Ｆ３Ｅ,10,第五建設事務所
基地局,移動局,ごけん１００～１０３,4,150,Ｆ３Ｅ,1,第五建設事務所
基地局,,ぼうさいろっけん,1,150,Ｆ３Ｅ,10,第六建設事務所
基地局,移動局,ろっけん１～２,2,150,Ｆ３Ｅ,25,第六建設事務所
基地局,移動局,ろっけん１０～１７,8,150,Ｆ３Ｅ,10,第六建設事務所
基地局,移動局,ろっけん１００～１０４,5,150,Ｆ３Ｅ,1,第六建設事務所
基地局,,ぼうさいにしけん,1,150,Ｆ３Ｅ,25,西多摩建設事務所
基地局,移動局,にしけん１～３,3,150,Ｆ３Ｅ,25,西多摩建設事務所
基地局,移動局,にしけん１０～１８,9,150,Ｆ３Ｅ,10,西多摩建設事務所
基地局,移動局,にしけん１００～１０３,4,150,Ｆ３Ｅ,1,西多摩建設事務所
基地局,,ぼうさいなんとうけん,1,150,Ｆ３Ｅ,10,南多摩東部建設事務所
基地局,移動局,なんとう１～２,2,150,Ｆ３Ｅ,25,南多摩東部建設事務所
基地局,移動局,なんとう１０～１３,4,150,Ｆ３Ｅ,10,南多摩東部建設事務所
基地局,移動局,なんとう１００～１０３,4,150,Ｆ３Ｅ,1,南多摩東部建設事務所
基地局,,ぼうさいなんせいけん,1,150,Ｆ３Ｅ,25,南多摩西部建設事務所
基地局,移動局,なんせい１～２,2,150,Ｆ３Ｅ,25,南多摩西部建設事務所
基地局,移動局,なんせい１０～１３,4,150,Ｆ３Ｅ,10,南多摩西部建設事務所
基地局,移動局,なんせい１００～１０３,4,150,Ｆ３Ｅ,1,南多摩西部建設事務所
基地局,,ぼうさいきたなんけん,1,150,Ｆ３Ｅ,10,北多摩南部建設事務所
基地局,移動局,きたなん１～３,3,150,Ｆ３Ｅ,25,北多摩南部建設事務所
基地局,移動局,きたなん１０～１６,7,150,Ｆ３Ｅ,10,北多摩南部建設事務所
基地局,移動局,きたなん１００～１０３,4,150,Ｆ３Ｅ,1,北多摩南部建設事務所
基地局,,ぼうさいきたきたけん,1,150,Ｆ３Ｅ,10,北多摩北部建設事務所
基地局,移動局,きたきた１～３,3,150,Ｆ３Ｅ,25,北多摩北部建設事務所
基地局,移動局,きたきた１０～１６,7,150,Ｆ３Ｅ,10,北多摩北部建設事務所
基地局,移動局,きたきた１００～１０３,4,150,Ｆ３Ｅ,1,北多摩北部建設事務所
基地局,,ぼうさいちすい,1,150,Ｆ３Ｅ,10,江東治水事務所
基地局,移動局,ちすい１～２,2,150,Ｆ３Ｅ,25,江東治水事務所
基地局,移動局,ちすい１０～１３,4,150,Ｆ３Ｅ,10,江東治水事務所
計,,,171,,,,
