区分１,区分２,区分３,公道合計延長（ｍ）,公道合計面積（ｍ２）,公道合計東京都管理道路延長（ｍ）,公道合計東京都管理道路面積（ｍ２）,公道合計東京都管理道路一般国道（指定区間外）延長（ｍ）,公道合計東京都管理道路一般国道（指定区間外）面積（ｍ２）,公道合計区市町村道延長（ｍ）,公道合計区市町村道面積（ｍ２）
区部,舗装道,コンクリート舗装,84395,3079643,13786,1534747,0,27298,70609,1543955
区部,舗装道,高級青舗装,8720939,68927138,851824,12794740,18509,304357,7509920,45470069
区部,舗装道,ブロック舗装,120495,3616259,0,635221,0,5545,120495,2981038
区部,舗装道,コンクリート平板舗装,28102,1650873,0,561105,0,15947,28102,1088843
区部,舗装道,簡易舗装,2813741,20253507,46999,3703959,0,78757,2766742,16544248
区部,砂利道,,4038,178209,0,1811,0,0,4038,176398
区部,その他,,66469,2447398,615,1869084,0,26010,65854,576263
区部,計,,11874179,100153027,913224,21100667,18509,457914,10601760,68380814
多摩,舗装道,コンクリート舗装,169034,3564021,18745,1434272,2107,66623,141358,1935866
多摩,舗装道,高級青舗装,5196523,37266504,969270,8698946,54645,408483,4106985,24604379
多摩,舗装道,ブロック舗装,36257,1562894,682,259886,0,2632,35575,1303008
多摩,舗装道,コンクリート平板舗装,16937,726839,873,222750,0,4372,16064,504089
多摩,舗装道,簡易舗装,3489829,20911784,59023,2603848,0,60443,3430806,18304586
多摩,砂利道,,1971702,4077088,42678,157071,0,724,1929024,3920017
多摩,その他,,25582,4039479,0,2712277,0,200862,25582,1292752
多摩,計,,10905864,72148609,1091271,16089050,56752,744139,9685394,51864697
島部,舗装道,コンクリート舗装,288133,1542231,71330,614269,0,0,216803,927962
島部,舗装道,高級青舗装,320016,1996018,163525,1064907,0,0,156491,931111
島部,舗装道,ブロック舗装,700,72632,238,68178,0,0,462,4454
島部,舗装道,コンクリート平板舗装,886,46809,0,36532,0,0,886,10277
島部,舗装道,簡易舗装,168091,890773,3921,98646,0,0,164170,792127
島部,砂利道,,697534,1496830,2315,11916,0,0,695219,1484914
島部,その他,,48,1056367,0,923446,0,0,48,132921
島部,計,,1475408,7101660,241329,2817894,0,0,1234079,4283766
合計,舗装道,コンクリート舗装,541562,8185895,103861,3583288,2107,93921,428770,4407783
合計,舗装道,高級青舗装,14237478,108189660,1984619,22558593,73154,712840,11773396,71005559
合計,舗装道,ブロック舗装,157452,5251785,920,963285,0,8177,156532,4288500
合計,舗装道,コンクリート平板舗装,45925,2424521,873,820387,0,20319,45052,1603209
合計,舗装道,簡易舗装,6471661,42056064,109943,6406453,0,139200,6361718,35640961
合計,砂利道,,2709274,5752127,44993,170798,0,724,2664281,5581329
合計,その他,,92099,7543244,615,5504807,0,226872,91484,2001936
合計,計,,24255451,179403296,2245824,40007611,75261,1202053,21521233,124529277
