施設名１,施設名２,貯木可能面積（ｍ２）,同時保管量（ｍ３）
貯木場,豊洲,26350,5455
貯木場,１４号地,256607,53118
貯木場,１２号地,369601,76507
貯木場,新砂,49218,10188
貯木場,７号地,30000,6210
合計,,731776,151478
