項目／種別（基準排水量）,護衛艦ＤＤＨ（約１４０００ｔ）,護衛艦ＤＤＧ（約７３００ｔ）,護衛艦ＤＤ（約４６００ｔ／３０００ｔ）,掃海艇ＭＳＣ（約５００ｔ）,輸送艦ＬＳＴ（約９０００ｔ）
必要な水深（ｍ）,約１８,約１３,約１０,約５,約８
艦艇の長さ（ｍ）,約２００,約１６０,約１５０（１３０）,約６０,約１８０
タグボートの要否,要,要,要,否,要
タグボートの要否（型×隻数）／大型：約１８００ｐｓ小型：約４００ｐｓ,（大型×２）,（大型×２）,（大型×２）,,（大型×２）／ＬＣＡＣによるビーチング可能
