団体名,区市町村防災行政無線固定局屋外（局）,区市町村防災行政無線固定局戸別（局）,区市町村防災行政無線移動局（局）,地域防災無線移動局（局）
八王子,415,414,-,214
立川,71,-,13,134
武蔵野,47,82,180,-
三鷹,54,271,-,187
青梅,105,-,34,-
府中,133,48,159,-
昭島,64,50,83,-
調布,115,135,147,-
町田,244,175,191,-
小金井,54,-,-,109
小平,45,-,18,117
日野,119,137,63,122
東村山,65,130,59,-
国分寺,41,-,-,-
国立,32,-,12,95
福生,54,150,57,-
狛江,27,11,91,-
東大和,51,-,-,-
清瀬,39,1,42,-
東久留米,48,46,3,80
武蔵村山,54,-,54,130
多摩,114,92,78,110
稲城,56,-,80,-
羽村,53,-,63,-
あきる野,109,859,135,-
西東京,74,-,15,140
市計,2283,2601,1577,1438
