施設名,基本施設１,基本施設２（ｍ）,付帯施設,付帯施設２,付帯施設３（ｍ２）,供用開始
八丈島空港,滑走路,２０００×４５,ターミナルビル（棟）,1,3975,22767
八丈島空港,誘導路,８５×２３,航空局庁舎（棟）,1,1500,22767
八丈島空港,エプロン（ｍ２）,15300,夜間照明施設,一式,,22767
八丈島空港,,,駐車場（台）,274,20300,22767
大島空港,滑走路,１８００×４５,ターミナルビル（棟）,1,2643,23543
大島空港,誘導路,９５×２３,航空局庁舎（棟）,1,218,23543
大島空港,エプロン（ｍ２）,20525,夜間照明施設,一式,,23543
大島空港,,,駐車場（台）,233,2340,23543
三宅島空港,滑走路,１２００×３０,暫定ターミナルビル,1,491,24167
三宅島空港,誘導路,８０×１８,夜間照明施設,一式,,24167
三宅島空港,エプロン（ｍ２）,8350,駐車場（台）,43,960,24167
新島空港,滑走路,８００×２５,ターミナルビル（棟）,1,611,31960
新島空港,誘導路,３０×９,証明施設（進入角指示灯滑走路末端識別灯）,一式,,31960
新島空港,エプロン（ｍ２）,3000,駐車場（台）,42,1185,31960
神津島空港,滑走路,８００×２５,ターミナルビル（棟）,1,586,33786
神津島空港,誘導路,３０×９,証明施設（進入角指示灯滑走路末端識別灯）,一式,,33786
神津島空港,エプロン（ｍ２）,3000,道路及び駐車場（台）,24,840,33786
