区市町村名,避難場所指定箇所（ヶ所）学校校庭・グラウンド,避難場所指定箇所（ヶ所）学校校庭・グラウンド自区市町村内に所在する避難場所数,避難場所指定箇所（ヶ所）公園・広場,避難場所指定箇所（ヶ所）公園・広場自区市町村内に所在する避難場所数,避難場所指定箇所（ヶ所）河川敷,避難場所指定箇所（ヶ所）河川敷自区市町村内に所在する避難場所数,避難場所指定箇所（ヶ所）その他のグラウンド,避難場所指定箇所（ヶ所）その他のグラウンド自区市町村内に所在する避難場所数,避難場所指定箇所（ヶ所）その他,避難場所指定箇所（ヶ所）その他自区市町村内に所在する避難場所数,避難場所指定箇所（ヶ所）計,避難場所指定箇所（ヶ所）計自区市町村内に所在する避難場所数,避難場所避難計画人口（人）,避難場所標識（基）,注記
八王子市,7,7,4,4,1,1,,,,,12,12,1534712,76,※１
立川市,,,1,1,1,1,,,1,1,3,3,1085000,8,
武蔵野市,2,1,3,3,,,,,,,5,4,566300,32,
三鷹市,30,29,10,7,,,,,6,5,46,41,179500,73,
青梅市,28,28,14,14,,,2,2,20,20,64,64,221607,64,
府中市,,,3,3,1,1,,,7,7,11,11,1062800,117,
昭島市,,,2,2,1,1,,,1,1,4,4,18301,5,
調布市,4,7,2,2,3,3,1,1,,,10,10,223863,108,
町田市,79,79,18,18,,,3,3,7,7,107,107,948971,107,
小金井市,21,21,6,6,,,,,1,1,28,28,30495,22,
小平市,,,2,2,,,,,2,2,4,4,740000,11,
日野市,33,33,10,10,,,3,3,3,3,49,49,30712,43,
東村山市,,,2,2,,,,,1,1,3,3,184445,4,
国分寺市,17,17,6,4,,,,,,,23,21,43050,41,
国立市,2,2,1,,1,1,,,2,1,6,4,72744,24,
福生市,12,12,14,14,4,4,1,1,1,1,32,32,395000,41,
狛江市,1,1,1,1,1,1,,,1,1,4,4,5712,13,
東大和市,17,17,5,5,,,,,,,22,22,38210,24,
清瀬市,14,14,8,8,,,1,1,7,7,30,30,73000,15,
東久留米市,24,24,6,6,,,1,1,1,1,32,32,22450,1,
武蔵村山市,13,13,13,13,,,9,9,2,2,37,37,251365,36,
多摩市,27,27,,,,,4,4,5,5,36,36,70700,31,
稲城市,18,18,9,9,,,1,1,,,28,28,173984,215,
羽村市,10,10,3,3,,,,,,,13,13,58000,12,
あきる野市,17,17,2,2,,,5,5,1,1,25,25,304097,11,
西東京市,,,4,4,,,2,2,,,6,6,304869,5,
市計,376,374,149,143,13,13,33,33,69,67,640,630,8639887,1139,
瑞穂町,7,7,,,,,2,2,,,9,9,88700,9,
日の出町,5,5,3,3,,,1,1,2,2,11,11,43421,10,
檜原村,2,2,,,,,7,7,1,1,10,10,3580,,
奥多摩町,4,4,,,,,3,3,,,7,7,37945,5,
多摩町村計,18,18,3,3,0,0,13,13,3,3,37,37,173646,24,
大島町,6,6,4,4,,,5,5,,,15,15,10000,13,
利島村,1,1,,,,,,,3,3,4,4,300,5,
新島村,6,6,1,1,,,,,3,3,10,10,3000,,
神津島村,3,3,1,1,,,,,3,,7,4,2500,,
三宅村,,,,,,,,,,,0,0,5891,,
御蔵島村,1,1,,,,,,,1,1,2,2,400,,
八丈町,8,8,,,,,3,3,,,11,11,9000,,
青ヶ島村,,,,,,,,,2,2,2,2,175,,
小笠原村,2,2,,,,,,,3,3,5,5,4600,,
島しょ町村計,27,27,6,6,0,0,8,8,15,12,56,53,35866,18,
総計,421,419,158,152,13,13,54,54,87,82,733,720,8849399,1181,
