名称,ごみ処理能力（ｍ３）,主機馬力（馬力）,主機馬力２（基）,備考
清海丸,71,105,1,清掃母船
第一清海丸,20,230,2,油回収装置搭載兼用船
第二清海丸,20,230,2,油回収装置搭載兼用船
第三清海丸,30,70,2,
第五清海丸,9,169,2,
第六清海丸,20,105,2,
第七清海丸,15,150,2,
