区分１,区分２,橋数（橋）,橋長（ｍ）,橋面積（ｍ２）,橋齢別現況１５年未満,橋齢別現況１５～２５年,橋齢別現況２５年以上
鋼橋,３０ｍ未満,-,-,-,-,-,-
鋼橋,３０～１００ｍ未満,2,158,4401,-,1,1
鋼橋,１００ｍ以上,14,7766,186507,4,2,8
鋼橋,計,16,7924,190908,4,3,9
