区分,主要作業区分,能力,使用燃料,重量（ｔ）,備考
大型トラック,輸送一般,積載重量６ｔ,軽油,８．２～,通称３トン半
特大型トラック,輸送一般,積載重量８．８ｔ,軽油,１０．８～,小数保有
大型ダンプ,工事一般,積載重量５ｔ,軽油,9.4,３トン半ダンプ型
大型水タンク車,給水・配水,積載水量５ｔ,軽油,7.8,数量保有
水タンクトレーラ,給水・配水,積載水量１ｔ,軽油,1,牽引式
中型救急車,患者輸送,人員１１人,軽油,3.9,中型トラック
軽レッカー車,重量物吊上げ,吊上力４．８ｔ,軽油,14.2,民間型と同等
装甲人員輸送車,危険地域の人員等輸送,人員１０人,軽油,11.8,小数保有
ドーザ,土木作業一般／障害物除去等,アタッチメント有,軽油,５～１９．２,各形式有り
特大型セミトレーラ,重量物輸送,搭載量４０ｔ,軽油,17.8,小数保有
油圧ショベル,土木工事一般／土砂作業等,バケット０．８ｍ３,軽油,20,民間型と同等
バケットローダ,土木工事一般／土砂積込み等,バケット１．５ｍ３,軽油,10.8,民間型と同等
グレーダ,土木工事一般／整地作業等,ブレード幅３．７ｍ,軽油,11.5,民間型と同等
自走架柱橋,応急架橋,６０ｍ×６．７ｍ,軽油,１枚２．２,橋梁等級４２
パネル橋,架設架橋,２５ｍ×３．４ｍ,軽油,108,３０ｔ以上通過可能
渡河ボート,１人員輸送／２捜索救助,２６人又は３．８ｔ,手漕又は動力,,２個１セット／舷外機をつけ動力運行
偵察ボート,捜索救助,５人又は０．９ｔ,手漕,,ゴムボート式
除染車,化学剤中和,積載水量２．５ｔ,軽油,9.8,有毒化学剤の除染
冷凍冷蔵車,給食一般,積載重量３．５ｔ,軽油,9.5,民間型と同等
野外炊具１号,給食一般,２００人分／４５分,灯油ガソリン,大型トラックで牽引,トレーラ型
浄水セット,浄水・給水,７．５ｔ／６０分,ガソリン,大型トラックで輸送,珪藻土式
入浴セット,入浴支援,５０人／６０分,軽油ガソリン,大型トラックで輸送,練馬の湯
野外手術システム,野外施術,１０～１５人／１日,軽油ガソリン,大型トラック×４で構成,現行法では、手術不可
