倉庫名１,倉庫名２,所在地,規模（ｍ２）
直営倉庫,毛利,江東区毛利２－１－１２,1166
直営倉庫,北烏山,世田谷区北烏山７－１，８－１,540
直営倉庫,塩浜,江東区塩浜２－２６－１３,2023
直営倉庫,船橋,世田谷区船橋４－４１－１７,1569
直営倉庫,西新小岩,葛飾区西新小岩２－１,1096
直営倉庫,白鬚東,墨田区堤通２－８－１４ほか,9724
直営倉庫,城南大橋第二,大田区東海３－４－２,3497
直営倉庫,南千住,荒川区南千住６－４５－４１,2120
直営倉庫,麻布十番駅地下,都営大江戸線麻布十番駅,1480
直営倉庫,清澄白河駅地下,都営大江戸線清澄白河駅,767
兼用倉庫,五色橋教育庁倉庫,港区港南３－１,389
兼用倉庫,立川地域防災センター,立川市緑町３２３３,1686
兼用倉庫,都庁第二本庁舎,新宿区西新宿２－８－１都庁第二本庁舎,60
兼用倉庫,江戸川区中央,江戸川区中央１－４－１江戸川区役所,173
兼用倉庫,葛飾区,葛飾区立石５－１３－１葛飾区役所,177
兼用倉庫,西多摩福祉事務所,青梅市河辺６－４－１青梅合同庁舎,32
兼用倉庫,大島支庁,大島町元町字小清水,130
兼用倉庫,三宅支庁,三宅村三宅字伊豆,150
兼用倉庫,八丈島支庁,八丈町大賀郷,40
兼用倉庫,小笠原支庁,小笠原村父島字西町,50
契約倉庫,テレコムセンター備蓄倉庫,江東区青海２－３８,2907
計,,２１か所,29776
