区別／機関別使用区分別,機関別教育機関,機関別研究機関,機関別医療機関,機関別民間機関,機関別その他の機関,機関別計
千代田区,4,1,9,7,4,25
中央,,2,3,9,5,19
港,6,1,7,7,3,24
新宿,11,5,8,5,3,32
文京,14,6,6,1,3,30
台東,,1,,1,,2
墨田,,1,2,5,3,11
江東,,4,3,11,5,23
品川,4,3,3,5,1,16
目黒,5,4,4,1,1,15
大田,2,,4,13,3,22
世田谷,5,4,3,3,4,19
渋谷,1,,4,1,1,7
中野,2,2,2,4,2,12
杉並,,,,2,2,4
豊島,3,,1,2,1,7
北,,1,1,8,2,12
荒川,1,,,1,1,3
板橋,2,5,6,10,3,26
練馬,,1,1,3,3,8
足立,,,1,3,2,6
葛飾,1,,1,1,2,5
江戸川,,2,4,6,,12
区部計,73,61,43,54,109,340
八王子,3,6,2,,12,23
立川,2,,4,4,1,11
武蔵野,1,2,,,1,4
三鷹,1,2,1,,1,5
青梅,1,,,,1,2
府中,2,3,1,,4,10
昭島,1,,,,1,2
調布,,,1,1,2,4
町田,1,2,4,,4,11
小金井,,3,,,1,4
小平,2,1,2,1,1,7
日野,,,,,5,5
東村山,1,,2,,,3
国分寺,,,,1,,1
国立,,,1,,,1
西東京,,1,,,1,2
狛江,1,,1,,,2
東大和,,,1,,,1
清瀬,3,1,,1,1,6
東久留米,,,,,1,1
武蔵村山,1,,1,,1,3
多摩,2,,3,,,5
稲城,,,,1,,1
羽村,,,,,3,3
あきる野,1,,,,1,2
瑞穂,,,,,2,2
市町村計,23,21,24,9,44,121
都計,96,82,67,63,153,461
