車両種別１,車両種別２（トン）,車両台数,資器材種別,資器材員数（基）,給水量（ｍ３）基本水量,給水量（ｍ３）１日当り,飲料水確保水量（人分）
給水車,4,1,,,4.0,28.0,9300
給水車,3.2,1,,,3.2,22.4,7400
給水車,2,12,,,24.0,168.0,56000
小計,,14,,,31.2,218.4,72700
給水タンク,4,59,給水タンク２～３ｍ３,59,138.0,966.0,302000
給水タンク,2,270,給水タンク０．３～１．５ｍ３,270,231.1,1617.7,539233
角型ポリ容器,2,88,角型容器２０ｌ,,151.6,1061.5,353833
角型ポリ容器,2,21,角型容器１０ｌ,,※,※,※
小計,,438,,,520.7,3645.2,1195066
合計,,452,,,551.9,3863.6,1267766
