区分,宛先１,宛先２,所在地（郵便番号）,所在地,活動内容
陸上自衛隊に対するもの,第１師団長,,179-0081,練馬区北町４－１－１,車両・舟艇・航空機・地上部隊による各種災害の救援活動
海上自衛隊に対するもの,横須賀地方総監,,238-0046,横須賀市西逸見町１丁目無番地,艦艇又は航空機をもってする人員・物資の輸送、状況偵察、通信応援等
海上自衛隊に対するもの,自衛艦隊司令官,,237-0076,横須賀市船越町,艦艇又は航空機をもってする人員・物資の輸送、状況偵察、通信応援等
海上自衛隊に対するもの,状況により,第４航空群司令,252-1101,神奈川県綾瀬市,艦艇又は航空機をもってする人員・物資の輸送、状況偵察、通信応援等
海上自衛隊に対するもの,状況により,第２１航空群司令,294-8501,館山市宮城,艦艇又は航空機をもってする人員・物資の輸送、状況偵察、通信応援等
海上自衛隊に対するもの,第２１航空群司令,,294-8501,館山市宮城,伊豆諸島における救急患者輸送等
海上自衛隊に対するもの,第４航空群司令,,252-1101,神奈川県綾瀬市,伊豆諸島における救急患者輸送等／小笠原諸島における救急患者輸送等
海上自衛隊に対するもの,第３１航空群司令,,740-8555,岩国市三角町２丁目,小笠原諸島における救急患者輸送等
航空自衛隊に対するもの,作戦システム運用隊司令（連絡窓口）,,197-8503,福生市大字福生２５５２,主として航空機による偵察・人員物資の輸送
航空自衛隊に対するもの,航空総隊司令官,,197-8503,福生市大字福生２５５２,主として航空機による偵察・人員物資の輸送
航空自衛隊に対するもの,航空支援集団司令官,,183-8521,府中市浅間町１－５－５,主として航空機による偵察・人員物資の輸送
航空自衛隊に対するもの,中部航空方面隊司令官,,350-1394,狭山市稲荷山２－３,主として航空機による偵察・人員物資の輸送
