年代１（年）,年代２（年）,噴火記事
838,承和5,噴火。降灰
1965～1967,昭和40～42,群発地震１９６７年４月６日地震、Ｍ＝５．３
1988～1989,昭和63～平元,群発地震１９８９年１月２日地震、Ｍ＝５．０
2000,平成12,７月～９月、群発地震７月９日地震、Ｍ＝６．１、震度６弱
