地区別１,地区別２,営業者製造業,営業者輸入業,営業者販売業,要届出業者電気めっき業,要届出業者金属熱処理業,要届出業者運送業,非届出業者
千代田区,,9,152,733,1,0,0,76
中央区,,5,187,852,0,0,0,43
港区,,1,132,1032,0,0,0,130
新宿区,,2,45,275,1,0,0,126
文京区,,4,23,294,0,0,0,134
台東区,,4,15,288,38,1,0,65
墨田区,,11,9,227,58,0,4,126
江東区,,6,22,263,5,0,1,146
品川区,,2,30,385,24,0,2,49
目黒区,,2,6,113,13,0,0,88
大田区,,13,11,328,54,3,0,220
世田谷区,,0,8,198,5,0,0,220
渋谷区,,3,23,166,1,0,0,82
中野区,,1,3,90,2,0,0,91
杉並区,,0,5,157,1,0,0,126
豊島区,,2,3,170,4,0,0,101
北区,,7,7,185,15,1,2,128
荒川区,,2,3,110,21,0,0,67
板橋区,,17,7,236,17,0,1,200
練馬区,,4,4,195,3,0,0,153
足立区,,8,3,234,39,0,0,151
葛飾区,,15,2,170,58,0,1,142
江戸川区,,15,5,201,19,0,5,160
多摩川,,4,1,79,5,0,0,145
多摩川,青梅市,1,1,30,4,0,0,72
多摩川,福生市,1,0,17,0,0,0,19
多摩川,羽村市,0,0,16,0,0,0,29
多摩川,瑞穂町,2,0,13,1,0,0,20
多摩川,奥多摩町,0,0,3,0,0,0,5
秋川,,4,0,23,1,0,0,44
秋川,あきる野市,3,0,19,1,0,0,33
秋川,日の出町,1,0,3,0,0,0,8
秋川,檜原村,0,0,1,0,0,0,3
八王子,,7,8,175,4,0,0,228
八王子,八王子市,7,8,175,4,0,0,228
南多摩,,3,1,109,3,0,0,137
南多摩,日野市,2,1,50,2,0,0,55
南多摩,多摩市,0,0,34,1,0,0,47
南多摩,稲城市,1,0,25,0,0,0,35
町田,,2,2,92,2,0,0,119
町田,町田市,2,2,92,2,0,0,119
多摩立川,,3,2,164,9,1,0,170
多摩立川,立川市,2,0,61,3,0,0,68
多摩立川,昭島市,1,2,38,3,1,0,50
多摩立川,国分寺市,0,0,35,2,0,0,25
多摩立川,国立市,0,0,30,1,0,0,27
村山大和,,1,1,44,3,1,0,52
村山大和,東大和市,0,0,29,0,0,0,25
村山大和,武蔵村山市,1,1,15,3,1,0,27
府中小金井,,1,0,72,1,0,0,106
府中小金井,府中市,1,0,58,0,0,0,75
府中小金井,小金井市,0,0,14,1,0,0,31
狛江調布,,2,3,79,4,0,0,86
狛江調布,調布市,1,3,62,3,0,0,72
狛江調布,狛江市,1,0,17,1,0,0,14
三鷹武蔵野,,2,3,79,4,1,0,112
三鷹武蔵野,武蔵野市,2,0,40,1,1,0,57
三鷹武蔵野,三鷹市,0,3,39,3,0,0,55
多摩小平,,0,1,75,4,0,0,98
多摩小平,小平市,0,1,39,3,0,0,55
多摩小平,西東京市,0,0,36,1,0,0,43
多摩東村山,,0,0,77,4,0,0,131
多摩東村山,東村山市,0,0,33,3,0,0,50
多摩東村山,清瀬市,0,0,16,0,0,0,28
多摩東村山,東久留米市,0,0,28,1,0,0,53
大島,,0,0,9,0,0,0,17
利島,,0,0,1,0,0,0,2
三宅島,,,0,7,0,0,0,12
新島,,0,0,2,0,0,0,6
八丈島,,0,0,9,0,0,0,14
神津島,,0,0,3,0,0,0,3
小笠原,,0,0,3,0,0,0,7
御蔵島,,0,0,0,0,0,0,3
青ケ島,,0,0,0,0,0,0,2
合計,,162,727,8004,423,8,16,4318
総合計,,13658,,,,,,
